file,source,x,y,z,censored,par_meas_w,par_sim_w,blue_meas_w,blue_sim_w,green_meas_w,green_sim_w,red_meas_w,red_sim_w
h121210-000610.csv,spectrum,12.0,12.0,10.0,False,1.1727366780744877,0.08773548851313637,0.5505263619999999,0.07760168292206972,0.06836834249999998,0.009808488287203524,0.0009968403058983478,0.0003253173038631323
h12128-000033.csv,spectrum,12.0,12.0,8.0,False,1.5681836780000002,0.5714180139995341,1.392033801,0.47415179263918306,0.1745851345,0.09197496671629597,0.0015647425,0.005291254644055031
h121810-000533.csv,spectrum,12.0,18.0,10.0,False,0.07750229827289669,0.014547969371680203,0.0036145035000000004,0.012625550867626638,0.00043524749999999994,0.0019067649744330278,0.00043799499999999994,1.5653529620537317e-05
h12188-235959.csv,spectrum,12.0,18.0,8.0,True,0.0,0.03786820871628824,0.0,0.03058487954104938,0.0,0.007185807607636846,0.0,9.752156760201022e-05
h122410-000454.csv,spectrum,12.0,24.0,10.0,False,0.028125928119090315,0.07980542966814051,0.0123849505,0.07041969801572778,0.0024381719999999997,0.00865716416981225,6.163377776763422e-05,0.0007285674826004816
h12248-235915.csv,spectrum,12.0,24.0,8.0,False,0.085646124,0.5707468229337476,0.0711562275,0.47676209280096177,0.014436196499999998,0.08700400071695176,5.37e-05,0.006980729415834085
h12610-000644.csv,spectrum,12.0,6.0,10.0,False,0.1978547610930339,0.006056560049127248,0.0946897695,0.005572442405552899,0.0098089845,0.00047651707279529267,9.550641762881083e-06,7.600570779056298e-06
h1268-000115.csv,spectrum,12.0,6.0,8.0,True,0.0,0.010358171877763892,0.0,0.009610119882278617,0.0,0.000738005081697721,0.0,1.0046913787554366e-05
h181210-010756.csv,spectrum,18.0,12.0,10.0,False,0.07978895232288455,0.01284523537357299,0.003766412500000001,0.011473135436704225,0.0004292934999999999,0.001352531548922411,0.00018621999999999996,1.956838794635345e-05
h18128-010113.csv,spectrum,18.0,12.0,8.0,False,0.0012992560000000002,0.03558708940726623,0.0011808875,0.03046412651671999,9.11235e-05,0.005078059459235957,2.7244999999999997e-05,4.49034313102798e-05
h181810-010722.csv,spectrum,18.0,18.0,10.0,False,0.10953029827363271,0.006934580972177577,0.005021427000000001,0.006221664909533909,0.0007445165,0.0007027078702873604,0.00019276000000000002,1.0208192356307413e-05
h18188-010011.csv,spectrum,18.0,18.0,8.0,False,0.0015008135,0.014666890549194815,0.0013464820000000002,0.011688536874576534,0.00013440850000000004,0.0029288155504268846,1.9923e-05,4.953812419139627e-05
h182410-010646.csv,spectrum,18.0,24.0,10.0,True,0.0,0.010997703204713015,0.0,0.010293968482466862,0.0,0.0006974987580303135,0.0,6.2359642158391636e-06
h18248-005931.csv,spectrum,18.0,24.0,8.0,True,0.0,0.03780397636289555,0.0,0.03441211637350146,0.0,0.003334037600374832,0.0,5.782238901925983e-05
h18610-010834.csv,spectrum,18.0,6.0,10.0,True,0.0,0.0006401775562998775,0.0,0.0005201455952315177,0.0,0.00011305214057222187,0.0,6.979820496137915e-06
h1868-010239.csv,spectrum,18.0,6.0,8.0,True,0.0,0.0020363918310483914,0.0,0.001527174642895376,0.0,0.00041948228731262854,0.0,8.973490084038684e-05
h241210-014602.csv,spectrum,24.0,12.0,10.0,False,0.25284892873122905,0.018881259396284388,0.0661968755,0.014949054059021407,0.06477042649999999,0.0039055063897993417,0.004891393979903961,2.6698947463638837e-05
h24128-013705.csv,spectrum,24.0,12.0,8.0,False,0.001884096,0.0583079890520641,0.0017562100000000002,0.04802825506031564,0.00010453499999999999,0.01007150456070011,2.3351000000000004e-05,0.000208229431048353
h241810-014525.csv,spectrum,24.0,18.0,10.0,False,0.2541599585505678,0.0888273588883492,0.0665808605,0.07602376191651519,0.06578315149999998,0.012457140587078325,0.00355806323692065,0.00034645638475567223
h24188-013636.csv,spectrum,24.0,18.0,8.0,False,4.9453855970000005,0.4453250769220494,4.1023859685,0.3794288953368702,0.822007593,0.061818907383700425,0.0209920355,0.004077274201478812
h242410-014453.csv,spectrum,24.0,24.0,10.0,False,0.027821234342345666,0.0018142450802937171,0.012167951500000001,0.001539269494271458,0.002504757,0.0001899006880138915,4.171554470858169e-05,8.507489800836761e-05
h24248-013558.csv,spectrum,24.0,24.0,8.0,False,0.0015590299999999999,0.006567046427983945,0.0013083125,0.005897493294618424,0.000226366,0.0003984041479563569,2.43515e-05,0.00027114898540916505
h24610-014632.csv,spectrum,24.0,6.0,10.0,True,0.0,0.00016770820856612672,0.0,0.00014931841432248017,0.0,1.8389794243646542e-05,0.0,0.0
h2468-013734.csv,spectrum,24.0,6.0,8.0,True,0.0,0.0009191443636946209,0.0,0.0008810728351183057,0.0,3.807152857631514e-05,0.0,0.0
h61210-234429.csv,spectrum,6.0,12.0,10.0,False,0.1380538630884451,0.005274733401578027,0.06490507150000001,0.004679588072872169,0.008008495,0.0005809494405689154,8.198841144643975e-06,1.4195888136942073e-05
h6128-233253.csv,spectrum,6.0,12.0,8.0,False,0.016585472,0.013358587081021178,0.014429023,0.010997882621527805,0.0021320824999999997,0.0022589338581936215,2.4366499999999998e-05,0.00010177060129975087
h61810-234351.csv,spectrum,6.0,18.0,10.0,False,0.043433817717111606,0.001630895314901241,0.0020404324999999997,0.001375298377375634,0.0002208215,0.0002548188174078949,0.00032852500000000003,7.781201177119391e-07
