Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-13
Test time,20:28:57
E(lx),0.47
Candle E(fc),0.04
CCT(K),100000
Duv,0.03217
CIE x,0.1685
CIE y,0.1859
CIE u,0.1377
CIE v,0.2279
CIE u',0.1377
CIE v',0.3419
SDCM,90.61
Ra,35.3
R1,22
R2,71
R3,26
R4,-6
R5,41
R6,70
R7,45
R8,13
R9,-99
R10,56
R11,-20
R12,57
R13,33
R14,56
R15,20
Ee(mW/c©O),0.000
S/P,5.396
Dominant(nm),478.90
Purity(%),69.4
Half width(nm),20.8
Peak(nm),458.8
Center(nm),459.2
Centroid(nm),503.2
R ratio(%),8.2
G ratio(%),25.6
B ratio(%),66.3
CIE1931 X,0.618
CIE1931 Y,0.682
CIE1931 Z,2.367
TLCI-2012,17
Integral Time(ms),5000.00
Peak Signal,8011
Dark Signal,3646
Compensate level,2830
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000236,
381,0.000583,
382,0.002151,
383,0.003400,
384,0.004760,
385,0.004067,
386,0.002108,
387,0.000549,
388,0.000498,
389,0.001248,
390,0.001207,
391,0.001360,
392,0.000359,
393,0.000349,
394,0.000633,
395,0.000812,
396,0.000788,
397,0.000481,
398,0.000178,
399,0.000166,
400,0.000203,
401,0.000327,
402,0.000708,
403,0.001501,
404,0.001417,
405,0.001428,
406,0.000503,
407,0.000272,
408,0.000160,
409,0.000013,
410,0.000145,
411,0.000283,
412,0.000652,
413,0.000875,
414,0.000677,
415,0.000488,
416,0.000313,
417,0.000494,
418,0.001093,
419,0.000913,
420,0.000797,
421,0.000029,
422,0.000000,
423,0.000000,
424,0.000125,
425,0.000123,
426,0.000122,
427,0.000030,
428,0.000000,
429,0.000181,
430,0.000593,
431,0.001856,
432,0.002181,
433,0.002207,
434,0.001214,
435,0.000451,
436,0.000165,
437,0.000641,
438,0.001968,
439,0.002975,
440,0.004611,
441,0.005848,
442,0.006649,
443,0.007915,
444,0.008401,
445,0.011497,
446,0.014323,
447,0.017735,
448,0.022155,
449,0.028139,
450,0.035744,
451,0.042396,
452,0.046701,
453,0.051040,
454,0.055177,
455,0.059024,
456,0.061012,
457,0.061323,
458,0.061069,
459,0.059895,
460,0.056714,
461,0.052997,
462,0.050063,
463,0.048078,
464,0.046705,
465,0.044432,
466,0.042305,
467,0.039972,
468,0.038262,
469,0.036230,
470,0.034361,
471,0.032155,
472,0.030851,
473,0.029793,
474,0.028143,
475,0.026658,
476,0.025290,
477,0.023312,
478,0.022434,
479,0.022171,
480,0.021065,
481,0.018825,
482,0.017401,
483,0.016587,
484,0.017039,
485,0.015410,
486,0.012598,
487,0.010087,
488,0.009026,
489,0.009829,
490,0.011108,
491,0.012969,
492,0.012925,
493,0.013090,
494,0.013667,
495,0.011942,
496,0.010647,
497,0.008641,
498,0.008553,
499,0.009488,
500,0.011338,
501,0.011717,
502,0.010448,
503,0.009698,
504,0.009848,
505,0.010753,
506,0.010734,
507,0.008962,
508,0.009337,
509,0.009431,
510,0.009715,
511,0.009752,
512,0.009195,
513,0.008606,
514,0.008528,
515,0.008433,
516,0.009788,
517,0.009626,
518,0.008745,
519,0.007161,
520,0.006650,
521,0.007237,
522,0.007644,
523,0.008147,
524,0.008743,
525,0.008816,
526,0.009579,
527,0.011029,
528,0.010358,
529,0.010074,
530,0.009011,
531,0.009434,
532,0.009471,
533,0.008707,
534,0.008214,
535,0.010384,
536,0.012273,
537,0.011727,
538,0.010404,
539,0.008327,
540,0.007771,
541,0.007425,
542,0.008246,
543,0.010242,
544,0.010808,
545,0.011743,
546,0.010523,
547,0.009445,
548,0.008081,
549,0.006109,
550,0.005391,
551,0.006340,
552,0.007157,
553,0.008127,
554,0.007111,
555,0.005369,
556,0.003890,
557,0.003934,
558,0.004122,
559,0.005087,
560,0.006218,
561,0.007280,
562,0.007017,
563,0.007054,
564,0.007765,
565,0.009189,
566,0.008350,
567,0.005370,
568,0.002829,
569,0.003355,
570,0.004642,
571,0.005019,
572,0.004579,
573,0.003427,
574,0.003672,
575,0.003296,
576,0.003520,
577,0.004323,
578,0.005097,
579,0.004936,
580,0.004457,
581,0.004325,
582,0.004893,
583,0.004322,
584,0.002884,
585,0.001011,
586,0.000335,
587,0.000455,
588,0.000627,
589,0.000460,
590,0.000494,
591,0.000171,
592,0.000475,
593,0.000869,
594,0.001536,
595,0.001565,
596,0.001970,
597,0.001730,
598,0.001511,
599,0.000995,
600,0.000191,
601,0.000031,
602,0.000284,
603,0.000476,
604,0.000561,
605,0.001025,
606,0.000781,
607,0.000807,
608,0.000543,
609,0.000200,
610,0.000186,
611,0.000190,
612,0.000172,
613,0.000173,
614,0.000000,
615,0.000000,
616,0.000024,
617,0.000024,
618,0.000123,
619,0.000554,
620,0.000544,
621,0.000546,
622,0.000139,
623,0.000000,
624,0.000493,
625,0.000703,
626,0.000706,
627,0.000564,
628,0.000442,
629,0.001848,
630,0.002030,
631,0.001863,
632,0.000782,
633,0.000059,
634,0.000052,
635,0.000053,
636,0.000042,
637,0.000326,
638,0.000523,
639,0.001043,
640,0.000985,
641,0.001343,
642,0.001286,
643,0.001335,
644,0.001128,
645,0.000662,
646,0.000689,
647,0.000292,
648,0.000209,
649,0.000042,
650,0.000043,
651,0.000043,
652,0.000022,
653,0.000008,
654,0.000020,
655,0.000020,
656,0.000020,
657,0.000000,
658,0.000000,
659,0.000000,
660,0.000000,
661,0.000188,
662,0.001079,
663,0.001201,
664,0.001813,
665,0.002833,
666,0.002812,
667,0.003743,
668,0.002538,
669,0.001936,
670,0.001357,
671,0.000292,
672,0.000449,
673,0.000972,
674,0.001144,
675,0.000922,
676,0.000649,
677,0.000481,
678,0.000436,
679,0.000539,
680,0.000773,
681,0.001618,
682,0.002003,
683,0.001941,
684,0.001046,
685,0.000213,
686,0.000000,
687,0.000154,
688,0.000166,
689,0.000201,
690,0.000124,
691,0.000046,
692,0.000009,
693,0.000000,
694,0.000000,
695,0.000000,
696,0.000000,
697,0.000000,
698,0.000048,
699,0.000381,
700,0.000383,
701,0.000387,
702,0.000133,
703,0.000062,
704,0.000369,
705,0.000538,
706,0.001016,
707,0.003155,
708,0.003234,
709,0.004369,
710,0.002999,
711,0.001548,
712,0.001890,
713,0.001821,
714,0.002642,
715,0.002629,
716,0.004099,
717,0.004302,
718,0.004123,
719,0.002508,
720,0.000241,
721,0.000749,
722,0.001394,
723,0.001418,
724,0.001711,
725,0.001096,
726,0.000912,
727,0.000658,
728,0.000368,
729,0.001011,
730,0.001310,
731,0.001324,
732,0.000644,
733,0.000000,
734,0.000000,
735,0.000000,
736,0.000576,
737,0.000652,
738,0.000659,
739,0.000404,
740,0.000001,
741,0.000005,
742,0.000005,
743,0.000005,
744,0.000001,
745,0.000194,
746,0.000489,
747,0.000494,
748,0.000774,
749,0.000408,
750,0.001377,
751,0.001688,
752,0.002346,
753,0.004607,
754,0.003692,
755,0.003699,
756,0.001556,
757,0.000184,
758,0.000402,
759,0.001275,
760,0.004329,
761,0.006888,
762,0.006329,
763,0.005161,
764,0.000962,
765,0.000094,
766,0.000092,
767,0.000081,
768,0.000731,
769,0.000840,
770,0.000895,
771,0.001000,
772,0.002585,
773,0.004316,
774,0.004232,
775,0.003255,
776,0.003129,
777,0.005058,
778,0.007237,
779,0.007484,
780,0.004160,
