Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-13
Test time,20:39:40
E(lx),5.47
Candle E(fc),0.51
CCT(K),100000
Duv,0.04042
CIE x,0.1694
CIE y,0.2050
CIE u,0.1323
CIE v,0.2402
CIE u',0.1323
CIE v',0.3603
SDCM,92.39
Ra,34.0
R1,13
R2,68
R3,35
R4,-5
R5,35
R6,69
R7,50
R8,7
R9,-99
R10,54
R11,-19
R12,50
R13,25
R14,59
R15,9
Ee(mW/c©O),0.003
S/P,5.040
Dominant(nm),480.80
Purity(%),66.9
Half width(nm),24.4
Peak(nm),456.2
Center(nm),460.5
Centroid(nm),489.6
R ratio(%),0.8
G ratio(%),31.2
B ratio(%),68.1
CIE1931 X,6.618
CIE1931 Y,8.009
CIE1931 Z,24.434
TLCI-2012,5
Integral Time(ms),5000.00
Peak Signal,42869
Dark Signal,3385
Compensate level,2830
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.001100,
383,0.001613,
384,0.002622,
385,0.002139,
386,0.001101,
387,0.000365,
388,0.000162,
389,0.000370,
390,0.000358,
391,0.000356,
392,0.000042,
393,0.000105,
394,0.000335,
395,0.000313,
396,0.000301,
397,0.000025,
398,0.000042,
399,0.000048,
400,0.000073,
401,0.000152,
402,0.000444,
403,0.001027,
404,0.000908,
405,0.000959,
406,0.000170,
407,0.000120,
408,0.000070,
409,0.000004,
410,0.000104,
411,0.000240,
412,0.000369,
413,0.000444,
414,0.000240,
415,0.000167,
416,0.000107,
417,0.000362,
418,0.000713,
419,0.000650,
420,0.000526,
421,0.000004,
422,0.000000,
423,0.000342,
424,0.000957,
425,0.000982,
426,0.000817,
427,0.000618,
428,0.001256,
429,0.003672,
430,0.007347,
431,0.012158,
432,0.015878,
433,0.018851,
434,0.020537,
435,0.022267,
436,0.025104,
437,0.031311,
438,0.041422,
439,0.053166,
440,0.066508,
441,0.080150,
442,0.095703,
443,0.114330,
444,0.135153,
445,0.161539,
446,0.191270,
447,0.226123,
448,0.265866,
449,0.309844,
450,0.357013,
451,0.404000,
452,0.448130,
453,0.489703,
454,0.527080,
455,0.558043,
456,0.578278,
457,0.586502,
458,0.584727,
459,0.576281,
460,0.558559,
461,0.536015,
462,0.510234,
463,0.483718,
464,0.456913,
465,0.431677,
466,0.410373,
467,0.391912,
468,0.377007,
469,0.362180,
470,0.348821,
471,0.334451,
472,0.319750,
473,0.304633,
474,0.290736,
475,0.275045,
476,0.259753,
477,0.244147,
478,0.230626,
479,0.218808,
480,0.207820,
481,0.196305,
482,0.186720,
483,0.179071,
484,0.173784,
485,0.167847,
486,0.161354,
487,0.156327,
488,0.151866,
489,0.149513,
490,0.147901,
491,0.146933,
492,0.144441,
493,0.141770,
494,0.140030,
495,0.135831,
496,0.132620,
497,0.128833,
498,0.127496,
499,0.127339,
500,0.127833,
501,0.126814,
502,0.124577,
503,0.122876,
504,0.122069,
505,0.121884,
506,0.120930,
507,0.118569,
508,0.117889,
509,0.116332,
510,0.114607,
511,0.112764,
512,0.110910,
513,0.109223,
514,0.108719,
515,0.108004,
516,0.109300,
517,0.109047,
518,0.108189,
519,0.106757,
520,0.106211,
521,0.106860,
522,0.107615,
523,0.109078,
524,0.110197,
525,0.109929,
526,0.109894,
527,0.110007,
528,0.109151,
529,0.108605,
530,0.107902,
531,0.108832,
532,0.109597,
533,0.109292,
534,0.108566,
535,0.110152,
536,0.111610,
537,0.110221,
538,0.108278,
539,0.105195,
540,0.103627,
541,0.102640,
542,0.102949,
543,0.104397,
544,0.105016,
545,0.105507,
546,0.103887,
547,0.101108,
548,0.097463,
549,0.093116,
550,0.090708,
551,0.090879,
552,0.091125,
553,0.091864,
554,0.089784,
555,0.086564,
556,0.083389,
557,0.082103,
558,0.081331,
559,0.080882,
560,0.080245,
561,0.079374,
562,0.077451,
563,0.076159,
564,0.075830,
565,0.076119,
566,0.074347,
567,0.069354,
568,0.065260,
569,0.063753,
570,0.063924,
571,0.062252,
572,0.059543,
573,0.056111,
574,0.054341,
575,0.052104,
576,0.050217,
577,0.048598,
578,0.047608,
579,0.045511,
580,0.043526,
581,0.041487,
582,0.039561,
583,0.036205,
584,0.031706,
585,0.027302,
586,0.023987,
587,0.021692,
588,0.020838,
589,0.019612,
590,0.019167,
591,0.016740,
592,0.015784,
593,0.015546,
594,0.015386,
595,0.013497,
596,0.011702,
597,0.010423,
598,0.009828,
599,0.008280,
600,0.005132,
601,0.002592,
602,0.001585,
603,0.001997,
604,0.002406,
605,0.003616,
606,0.003594,
607,0.003593,
608,0.002899,
609,0.001853,
610,0.001688,
611,0.001460,
612,0.001354,
613,0.000951,
614,0.000086,
615,0.000180,
616,0.000297,
617,0.000298,
618,0.000381,
619,0.000758,
620,0.000836,
621,0.000828,
622,0.000317,
623,0.000017,
624,0.000362,
625,0.000557,
626,0.000560,
627,0.000477,
628,0.000642,
629,0.001863,
630,0.001910,
631,0.001624,
632,0.000482,
633,0.000077,
634,0.000129,
635,0.000129,
636,0.000104,
637,0.000546,
638,0.000644,
