Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-13
Test time,20:43:03
E(lx),9.51
Candle E(fc),0.88
CCT(K),100000
Duv,0.04197
CIE x,0.1665
CIE y,0.2034
CIE u,0.1304
CIE v,0.2389
CIE u',0.1304
CIE v',0.3583
SDCM,94.65
Ra,31.4
R1,9
R2,66
R3,33
R4,-9
R5,32
R6,66
R7,49
R8,5
R9,-99
R10,50
R11,-24
R12,49
R13,21
R14,58
R15,6
Ee(mW/c©O),0.005
S/P,5.120
Dominant(nm),480.80
Purity(%),68.0
Half width(nm),25.1
Peak(nm),456.6
Center(nm),460.6
Centroid(nm),487.9
R ratio(%),0.1
G ratio(%),31.0
B ratio(%),68.8
CIE1931 X,11.401
CIE1931 Y,13.925
CIE1931 Z,43.154
TLCI-2012,4
Integral Time(ms),3700.00
Peak Signal,55501
Dark Signal,4269
Compensate level,2854
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.001152,
383,0.001540,
384,0.001464,
385,0.000858,
386,0.000000,
387,0.000000,
388,0.000145,
389,0.000349,
390,0.000338,
391,0.000326,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000249,
403,0.000609,
404,0.000596,
405,0.000583,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000084,
428,0.000472,
429,0.002748,
430,0.007031,
431,0.013433,
432,0.018892,
433,0.023927,
434,0.028418,
435,0.033910,
436,0.041189,
437,0.053554,
438,0.071223,
439,0.091747,
440,0.115911,
441,0.143167,
442,0.174148,
443,0.208942,
444,0.247205,
445,0.293275,
446,0.346411,
447,0.408210,
448,0.477456,
449,0.554029,
450,0.635084,
451,0.716664,
452,0.794213,
453,0.869064,
454,0.935572,
455,0.987100,
456,1.020349,
457,1.030018,
458,1.023008,
459,1.005048,
460,0.971790,
461,0.935377,
462,0.895688,
463,0.853831,
464,0.809949,
465,0.765275,
466,0.727152,
467,0.693768,
468,0.665625,
469,0.639579,
470,0.616088,
471,0.592116,
472,0.568024,
473,0.541064,
474,0.516148,
475,0.487656,
476,0.460192,
477,0.433429,
478,0.409473,
479,0.387603,
480,0.367501,
481,0.348169,
482,0.331618,
483,0.318744,
484,0.309454,
485,0.299655,
486,0.289232,
487,0.280061,
488,0.272655,
489,0.267582,
490,0.264256,
491,0.261471,
492,0.256595,
493,0.251807,
494,0.247532,
495,0.241447,
496,0.236324,
497,0.230836,
498,0.228333,
499,0.226242,
500,0.225703,
501,0.223499,
502,0.220176,
503,0.217761,
504,0.216845,
505,0.216042,
506,0.214163,
507,0.210345,
508,0.208899,
509,0.206438,
510,0.203734,
511,0.200290,
512,0.196751,
513,0.193948,
514,0.192164,
515,0.191246,
516,0.192666,
517,0.191784,
518,0.190545,
519,0.187952,
520,0.186500,
521,0.187440,
522,0.188114,
523,0.190368,
524,0.191617,
525,0.192003,
526,0.192239,
527,0.192794,
528,0.191972,
529,0.191079,
530,0.189559,
531,0.190179,
532,0.191095,
533,0.190958,
534,0.190846,
535,0.192564,
536,0.194127,
537,0.192071,
538,0.188763,
539,0.185168,
540,0.183506,
541,0.182932,
542,0.183305,
543,0.184638,
544,0.183900,
545,0.182737,
546,0.179788,
547,0.175831,
548,0.171933,
549,0.166997,
550,0.163330,
551,0.162839,
552,0.161741,
553,0.161085,
554,0.157588,
555,0.152775,
556,0.148517,
557,0.145685,
558,0.143488,
559,0.141587,
560,0.140659,
561,0.139421,
562,0.136684,
563,0.135184,
564,0.133538,
565,0.132074,
566,0.127861,
567,0.120770,
568,0.114574,
569,0.111591,
570,0.109911,
571,0.106700,
572,0.102130,
573,0.097068,
574,0.093428,
575,0.089978,
576,0.086407,
577,0.082216,
578,0.078457,
579,0.073543,
580,0.069226,
581,0.064500,
582,0.060038,
583,0.054186,
584,0.047443,
585,0.041989,
586,0.037504,
587,0.033403,
588,0.030017,
589,0.026533,
590,0.025331,
591,0.022277,
592,0.020443,
593,0.018926,
594,0.017238,
595,0.014028,
596,0.011360,
597,0.009515,
598,0.008421,
599,0.006714,
600,0.003391,
601,0.001010,
602,0.000169,
603,0.000191,
604,0.000267,
605,0.000736,
606,0.000779,
607,0.000805,
608,0.000495,
609,0.000137,
610,0.000171,
611,0.000237,
612,0.000238,
613,0.000201,
614,0.000000,
615,0.000000,
616,0.000000,
617,0.000000,
618,0.000034,
619,0.000224,
620,0.000225,
621,0.000226,
622,0.000063,
623,0.000000,
624,0.000000,
625,0.000000,
626,0.000000,
627,0.000000,
628,0.000037,
629,0.000369,
630,0.000371,
631,0.000373,
632,0.000140,
633,0.000000,
634,0.000000,
635,0.000000,
636,0.000000,
637,0.000084,
638,0.000084,
