Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-13
Test time,20:32:45
E(lx),8.93
Candle E(fc),0.83
CCT(K),100000
Duv,0.03646
CIE x,0.1628
CIE y,0.1852
CIE u,0.1330
CIE v,0.2269
CIE u',0.1330
CIE v',0.3403
SDCM,95.03
Ra,27.8
R1,8
R2,66
R3,22
R4,-15
R5,32
R6,65
R7,43
R8,1
R9,-99
R10,51
R11,-31
R12,54
R13,21
R14,53
R15,7
Ee(mW/c©O),0.005
S/P,5.498
Dominant(nm),479.30
Purity(%),71.2
Half width(nm),23.3
Peak(nm),456.6
Center(nm),460.2
Centroid(nm),485.5
R ratio(%),0.2
G ratio(%),28.1
B ratio(%),71.7
CIE1931 X,11.500
CIE1931 Y,13.078
CIE1931 Z,46.053
TLCI-2012,4
Integral Time(ms),2800.00
Peak Signal,46463
Dark Signal,3084
Compensate level,2844
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000073,
382,0.001574,
383,0.001769,
384,0.001681,
385,0.000653,
386,0.000000,
387,0.000000,
388,0.000125,
389,0.000331,
390,0.000320,
391,0.000309,
392,0.000011,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000097,
397,0.000094,
398,0.000092,
399,0.000023,
400,0.000000,
401,0.000032,
402,0.000267,
403,0.000563,
404,0.000539,
405,0.000481,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000004,
423,0.000009,
424,0.000009,
425,0.000009,
426,0.000000,
427,0.000075,
428,0.000822,
429,0.003647,
430,0.008862,
431,0.015664,
432,0.021548,
433,0.025933,
434,0.030297,
435,0.035777,
436,0.043669,
437,0.057308,
438,0.076319,
439,0.098344,
440,0.123459,
441,0.150965,
442,0.182550,
443,0.219316,
444,0.259908,
445,0.308112,
446,0.362605,
447,0.426698,
448,0.501178,
449,0.586686,
450,0.679150,
451,0.773953,
452,0.865646,
453,0.950347,
454,1.025976,
455,1.086666,
456,1.129976,
457,1.147516,
458,1.143912,
459,1.122642,
460,1.081998,
461,1.030310,
462,0.971884,
463,0.912451,
464,0.855780,
465,0.804796,
466,0.762446,
467,0.727729,
468,0.699569,
469,0.673823,
470,0.648848,
471,0.622748,
472,0.595621,
473,0.567461,
474,0.540487,
475,0.507871,
476,0.475726,
477,0.443521,
478,0.415404,
479,0.390381,
480,0.368152,
481,0.347501,
482,0.329642,
483,0.315141,
484,0.303789,
485,0.293422,
486,0.282675,
487,0.274916,
488,0.268388,
489,0.264860,
490,0.261086,
491,0.257562,
492,0.250543,
493,0.243258,
494,0.236992,
495,0.230325,
496,0.226109,
497,0.221092,
498,0.219384,
499,0.216566,
500,0.214805,
501,0.212225,
502,0.208125,
503,0.206145,
504,0.204769,
505,0.202892,
506,0.199924,
507,0.195820,
508,0.195933,
509,0.195217,
510,0.194078,
511,0.190255,
512,0.185395,
513,0.181532,
514,0.179528,
515,0.179158,
516,0.180116,
517,0.179530,
518,0.178446,
519,0.176747,
520,0.175115,
521,0.174594,
522,0.173972,
523,0.175513,
524,0.177039,
