Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-13
Test time,20:27:31
E(lx),2.44
Candle E(fc),0.23
CCT(K),100000
Duv,0.04184
CIE x,0.1615
CIE y,0.1943
CIE u,0.1289
CIE v,0.2327
CIE u',0.1289
CIE v',0.3491
SDCM,97.38
Ra,28.1
R1,7
R2,63
R3,27
R4,-14
R5,31
R6,62
R7,45
R8,4
R9,-99
R10,46
R11,-31
R12,50
R13,18
R14,55
R15,7
Ee(mW/c©O),0.001
S/P,5.429
Dominant(nm),480.30
Purity(%),70.6
Half width(nm),23.9
Peak(nm),456.4
Center(nm),460.7
Centroid(nm),489.3
R ratio(%),1.4
G ratio(%),28.8
B ratio(%),69.8
CIE1931 X,2.965
CIE1931 Y,3.568
CIE1931 Z,11.832
TLCI-2012,5
Integral Time(ms),5000.00
Peak Signal,24311
Dark Signal,4323
Compensate level,2844
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000206,
382,0.001493,
383,0.002464,
384,0.003039,
385,0.002319,
386,0.000917,
387,0.000229,
388,0.000277,
389,0.000575,
390,0.000556,
391,0.000828,
392,0.000366,
393,0.000354,
394,0.000260,
395,0.000298,
396,0.000289,
397,0.000282,
398,0.000112,
399,0.000104,
400,0.000145,
401,0.000283,
402,0.000629,
403,0.001237,
404,0.001053,
405,0.001126,
406,0.000333,
407,0.000278,
408,0.000163,
409,0.000019,
410,0.000202,
411,0.000351,
412,0.000345,
413,0.000294,
414,0.000065,
415,0.000061,
416,0.000110,
417,0.000243,
418,0.000597,
419,0.000537,
420,0.000476,
421,0.000012,
422,0.000000,
423,0.000000,
424,0.000087,
425,0.000086,
426,0.000085,
427,0.000021,
428,0.000000,
429,0.000516,
430,0.001516,
431,0.003283,
432,0.004591,
433,0.005307,
434,0.004944,
435,0.003579,
436,0.003396,
437,0.005350,
438,0.010585,
439,0.016689,
440,0.023358,
441,0.029737,
442,0.036655,
443,0.045439,
444,0.054493,
445,0.067699,
446,0.082220,
447,0.099192,
448,0.119436,
449,0.142184,
450,0.168491,
451,0.194481,
452,0.218087,
453,0.240976,
454,0.261492,
455,0.279062,
456,0.290526,
457,0.295137,
458,0.294541,
459,0.289509,
460,0.279289,
461,0.266944,
462,0.253253,
463,0.240891,
464,0.228459,
465,0.216653,
466,0.205619,
467,0.195557,
468,0.188048,
469,0.180987,
470,0.175278,
471,0.168682,
472,0.162458,
473,0.155460,
474,0.148757,
475,0.140784,
476,0.132666,
477,0.123861,
478,0.116311,
479,0.110238,
480,0.104154,
481,0.097523,
482,0.092091,
483,0.088493,
484,0.086532,
485,0.083375,
486,0.078886,
487,0.074843,
488,0.072103,
489,0.071322,
490,0.071281,
491,0.071636,
492,0.070049,
493,0.068824,
494,0.068525,
495,0.065858,
496,0.063904,
497,0.061177,
498,0.060563,
499,0.060950,
500,0.061853,
501,0.061360,
502,0.059456,
503,0.058371,
504,0.058126,
505,0.058547,
506,0.057899,
507,0.055468,
508,0.055145,
509,0.054280,
510,0.053579,
511,0.052775,
512,0.051006,
513,0.049826,
514,0.049190,
515,0.048749,
516,0.050347,
517,0.050282,
518,0.049500,
519,0.048460,
520,0.047895,
521,0.048418,
522,0.048317,
523,0.048937,
524,0.049973,
525,0.050279,
526,0.050804,
527,0.051772,
528,0.051187,
529,0.050873,
530,0.050044,
531,0.050593,
532,0.051090,
533,0.050568,
534,0.049742,
535,0.051540,
536,0.053296,
537,0.052640,
538,0.051161,
539,0.048445,
540,0.047112,
541,0.046387,
542,0.046923,
543,0.048820,
544,0.049470,
545,0.050230,
546,0.048674,
547,0.046639,
548,0.043702,
549,0.040428,
550,0.038691,
551,0.039568,
552,0.040376,
553,0.040970,
554,0.039316,
555,0.036402,
556,0.034115,
557,0.033475,
558,0.033202,
559,0.033641,
560,0.034110,
561,0.033934,
562,0.032388,
563,0.031560,
564,0.031586,
565,0.032680,
566,0.031519,
567,0.027587,
568,0.024620,
569,0.024068,
570,0.024842,
571,0.024295,
572,0.022662,
573,0.020319,
574,0.019690,
575,0.018426,
576,0.017826,
577,0.017721,
578,0.017532,
579,0.016445,
580,0.015300,
581,0.014535,
582,0.014029,
583,0.012547,
584,0.009460,
585,0.006462,
586,0.004581,
587,0.003409,
588,0.003314,
589,0.003048,
590,0.003634,
591,0.002875,
592,0.003107,
593,0.003167,
594,0.003776,
595,0.003504,
596,0.003297,
597,0.002924,
598,0.002693,
599,0.002122,
600,0.000869,
601,0.000264,
602,0.000184,
603,0.000398,
604,0.000678,
605,0.001283,
606,0.001215,
607,0.001364,
608,0.001043,
609,0.000656,
610,0.000527,
611,0.000368,
612,0.000323,
613,0.000275,
614,0.000004,
615,0.000000,
616,0.000000,
617,0.000000,
618,0.000072,
619,0.000484,
620,0.000485,
621,0.000487,
622,0.000138,
623,0.000000,
624,0.000122,
625,0.000164,
626,0.000164,
627,0.000124,
628,0.000419,
629,0.001190,
630,0.001213,
631,0.000982,
632,0.000336,
633,0.000054,
634,0.000090,
635,0.000091,
636,0.000073,
637,0.000265,
638,0.000282,
639,0.000379,
640,0.000350,
641,0.000795,
642,0.001123,
643,0.001228,
644,0.000911,
645,0.000350,
646,0.000304,
647,0.000053,
648,0.000017,
649,0.000035,
650,0.000035,
651,0.000036,
652,0.000018,
653,0.000012,
654,0.000030,
655,0.000030,
656,0.000031,
657,0.000000,
658,0.000000,
659,0.000000,
660,0.000000,
661,0.000487,
662,0.001139,
663,0.001229,
664,0.001339,
665,0.001612,
666,0.001628,
667,0.002399,
668,0.001706,
669,0.001485,
670,0.000846,
671,0.000011,
672,0.000000,
673,0.000468,
674,0.003145,
675,0.003411,
676,0.003356,
677,0.001777,
678,0.000313,
679,0.000445,
680,0.000963,
681,0.001632,
682,0.001955,
683,0.001712,
684,0.000748,
685,0.000217,
686,0.000027,
687,0.000363,
688,0.000365,
689,0.000367,
690,0.000157,
691,0.000000,
692,0.000000,
693,0.000000,
694,0.000000,
695,0.000000,
696,0.000000,
697,0.000000,
698,0.000000,
699,0.000000,
700,0.000000,
701,0.000000,
702,0.000000,
703,0.000011,
704,0.000525,
705,0.000956,
706,0.001336,
707,0.003006,
708,0.002537,
709,0.003266,
710,0.002238,
711,0.001036,
712,0.001270,
713,0.000871,
714,0.001032,
715,0.001018,
716,0.002224,
717,0.003111,
718,0.003100,
719,0.001995,
720,0.000199,
721,0.000000,
722,0.000250,
723,0.000259,
724,0.000374,
725,0.000381,
726,0.000245,
727,0.000206,
728,0.000454,
729,0.001386,
730,0.001628,
731,0.001645,
732,0.000561,
733,0.000000,
734,0.000000,
735,0.000000,
736,0.001094,
737,0.001343,
738,0.001358,
739,0.001025,
740,0.000262,
741,0.000377,
742,0.000319,
743,0.000339,
744,0.000281,
745,0.000313,
746,0.000448,
747,0.000374,
748,0.000637,
749,0.000547,
750,0.001192,
751,0.001149,
752,0.001407,
753,0.003264,
754,0.002812,
755,0.003273,
756,0.001810,
757,0.000674,
758,0.000436,
759,0.001050,
760,0.004418,
761,0.006234,
762,0.006086,
763,0.004903,
764,0.001223,
765,0.000766,
766,0.000585,
767,0.000000,
768,0.000515,
769,0.000615,
770,0.000790,
771,0.001415,
772,0.002799,
773,0.003643,
774,0.003287,
775,0.001921,
776,0.000876,
777,0.002386,
778,0.004116,
779,0.004484,
780,0.003327,
