Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-13
Test time,20:48:45
E(lx),4.27
Candle E(fc),0.40
CCT(K),100000
Duv,0.04345
CIE x,0.1722
CIE y,0.2168
CIE u,0.1310
CIE v,0.2474
CIE u',0.1310
CIE v',0.3711
SDCM,92.49
Ra,35.9
R1,14
R2,68
R3,40
R4,-1
R5,36
R6,69
R7,52
R8,9
R9,-99
R10,52
R11,-14
R12,47
R13,26
R14,62
R15,9
Ee(mW/c©O),0.002
S/P,4.849
Dominant(nm),481.70
Purity(%),64.6
Half width(nm),25.1
Peak(nm),456.4
Center(nm),461.1
Centroid(nm),491.7
R ratio(%),0.9
G ratio(%),32.8
B ratio(%),66.3
CIE1931 X,4.971
CIE1931 Y,6.258
CIE1931 Z,17.637
TLCI-2012,6
Integral Time(ms),5000.00
Peak Signal,31662
Dark Signal,3701
Compensate level,2830
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000064,
381,0.000120,
382,0.001094,
383,0.001551,
384,0.002456,
385,0.002000,
386,0.001051,
387,0.000285,
388,0.000367,
389,0.000933,
390,0.000903,
391,0.000860,
392,0.000062,
393,0.000121,
394,0.000656,
395,0.000643,
396,0.000624,
397,0.000077,
398,0.000004,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000301,
403,0.000863,
404,0.000845,
405,0.000887,
406,0.000127,
407,0.000077,
408,0.000045,
409,0.000000,
410,0.000053,
411,0.000131,
412,0.000387,
413,0.000671,
414,0.000599,
415,0.000472,
416,0.000216,
417,0.000387,
418,0.001043,
419,0.000982,
420,0.000873,
421,0.000170,
422,0.000168,
423,0.000546,
424,0.001446,
425,0.001444,
426,0.001251,
427,0.000527,
428,0.000874,
429,0.003370,
430,0.007155,
431,0.012156,
432,0.015658,
433,0.017871,
434,0.018977,
435,0.019808,
436,0.021274,
437,0.025508,
438,0.032705,
439,0.041312,
440,0.050626,
441,0.059611,
442,0.069201,
443,0.081454,
444,0.094574,
445,0.112616,
446,0.132741,
447,0.156060,
448,0.183311,
449,0.214096,
450,0.247482,
451,0.280373,
452,0.309877,
453,0.338873,
454,0.365719,
455,0.389113,
456,0.405332,
457,0.412811,
458,0.413846,
459,0.409787,
460,0.398982,
461,0.383662,
462,0.365705,
463,0.347684,
464,0.329792,
465,0.312893,
466,0.298294,
467,0.285195,
468,0.275029,
469,0.264682,
470,0.256062,
471,0.246855,
472,0.237583,
473,0.227254,
474,0.217364,
475,0.206318,
476,0.196261,
477,0.185172,
478,0.175930,
479,0.167670,
480,0.159819,
481,0.151436,
482,0.144073,
483,0.138371,
