Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-13
Test time,20:15:00
E(lx),1.66
Candle E(fc),0.15
CCT(K),100000
Duv,0.04023
CIE x,0.1667
CIE y,0.1999
CIE u,0.1316
CIE v,0.2368
CIE u',0.1316
CIE v',0.3552
SDCM,93.81
Ra,32.3
R1,12
R2,67
R3,31
R4,-8
R5,34
R6,67
R7,48
R8,7
R9,-99
R10,52
R11,-23
R12,51
R13,24
R14,58
R15,10
Ee(mW/c©O),0.001
S/P,5.195
Dominant(nm),480.50
Purity(%),68.3
Half width(nm),23.7
Peak(nm),456.2
Center(nm),460.6
Centroid(nm),493.0
R ratio(%),2.7
G ratio(%),29.4
B ratio(%),67.8
CIE1931 X,2.022
CIE1931 Y,2.424
CIE1931 Z,7.680
TLCI-2012,6
Integral Time(ms),5000.00
Peak Signal,16743
Dark Signal,3990
Compensate level,2830
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000325,
381,0.000760,
382,0.002182,
383,0.003171,
384,0.004894,
385,0.004217,
386,0.002456,
387,0.000644,
388,0.000527,
389,0.001361,
390,0.001316,
391,0.001257,
392,0.000130,
393,0.000151,
394,0.000559,
395,0.000519,
396,0.000503,
397,0.000033,
398,0.000082,
399,0.000101,
400,0.000100,
401,0.000053,
402,0.000338,
403,0.001041,
404,0.001061,
405,0.001206,
406,0.000356,
407,0.000216,
408,0.000127,
409,0.000000,
410,0.000148,
411,0.000380,
412,0.000697,
413,0.001051,
414,0.000751,
415,0.000610,
416,0.000496,
417,0.000602,
418,0.001191,
419,0.000928,
420,0.000802,
421,0.000026,
422,0.000000,
423,0.000074,
424,0.000402,
425,0.000398,
426,0.000356,
427,0.000074,
428,0.000000,
429,0.000435,
430,0.001307,
431,0.003552,
432,0.005003,
433,0.005985,
434,0.005191,
435,0.003974,
436,0.003264,
437,0.005230,
438,0.009932,
439,0.014799,
440,0.020436,
441,0.024780,
442,0.029459,
443,0.035041,
444,0.039952,
445,0.048106,
446,0.056734,
447,0.067139,
448,0.080182,
449,0.095070,
450,0.112158,
451,0.128102,
452,0.141909,
453,0.155981,
454,0.168640,
455,0.179580,
456,0.186105,
457,0.188201,
458,0.187367,
459,0.184053,
460,0.176848,
461,0.168175,
462,0.159305,
463,0.151989,
464,0.144508,
465,0.136836,
466,0.129733,
467,0.123365,
468,0.119088,
469,0.114292,
470,0.110316,
471,0.105689,
472,0.101422,
473,0.097037,
474,0.092698,
475,0.088374,
476,0.084092,
477,0.078886,
478,0.074726,
479,0.071834,
480,0.068367,
481,0.063841,
482,0.059760,
483,0.057164,
484,0.055707,
485,0.053576,
486,0.050080,
487,0.047244,
488,0.045300,
489,0.044999,
490,0.045484,
491,0.046573,
492,0.045871,
493,0.045255,
494,0.045225,
495,0.042834,
496,0.041301,
497,0.039106,
498,0.038808,
499,0.039420,
500,0.040911,
501,0.040885,
502,0.039492,
503,0.038349,
504,0.037859,
505,0.038415,
506,0.037761,
507,0.035657,
508,0.035786,
509,0.035592,
510,0.035472,
511,0.035041,
512,0.033893,
513,0.033019,
514,0.033236,
515,0.032728,
516,0.033875,
517,0.033196,
518,0.031915,
519,0.030423,
520,0.029803,
