file,source,x,y,z,censored,par_meas_w,par_sim_w,blue_meas_w,blue_sim_w,green_meas_w,green_sim_w,red_meas_w,red_sim_w
p101010-202831.csv,spectrum,10.0,10.0,10.0,True,0.0,0.10497279345722896,0.0,0.0707847202877144,0.0,0.031199485518349505,0.0,0.0029885876511650503
p101012-203204.csv,spectrum,10.0,10.0,12.0,False,0.052849246999999995,0.03269216665501677,0.03703068650000001,0.02278644456424131,0.015801677,0.008823541530959654,1.68835e-05,0.0010821805598158073
p10108-202300.csv,spectrum,10.0,10.0,8.0,False,0.545681182,0.3385919853440089,0.39740992150000004,0.23950193062336056,0.147245048,0.0879575330464883,0.0010262125,0.011132521674160078
p101510-202759.csv,spectrum,10.0,15.0,10.0,False,0.0018882235,0.04970871783475419,0.0013520514999999997,0.03523037918428227,0.0004903234999999999,0.013066137448407412,4.58485e-05,0.0014122012020645108
p101512-203130.csv,spectrum,10.0,15.0,12.0,False,0.027946490999999997,0.022006035663837735,0.018991820499999996,0.01423204932838583,0.008915959000000001,0.006725242440093711,3.87115e-05,0.0010487438953581927
p10158-202229.csv,spectrum,10.0,15.0,8.0,False,0.027534458500000004,0.10355364966889107,0.0189353305,0.0701469702516589,0.008511979499999999,0.029272012327769957,8.714850000000001e-05,0.0041346670894622005
p102010-202731.csv,spectrum,10.0,20.0,10.0,False,0.0121127735,0.10548859263154962,0.008534447000000002,0.0693298927861313,0.0035210359999999995,0.03202043386738774,5.7290499999999996e-05,0.004138265978030587
p102012-203059.csv,spectrum,10.0,20.0,12.0,False,0.059631595,0.03314780343926148,0.04133912999999999,0.02192431355310296,0.018264992000000004,0.009471522967757998,2.7473000000000003e-05,0.0017519669184005166
p10208-202155.csv,spectrum,10.0,20.0,8.0,False,0.11474316999999999,0.35136278509287044,0.08016632650000001,0.2357494483155006,0.034411792499999996,0.10352023754120218,0.00016505100000000002,0.012093099236167682
p10510-202857.csv,spectrum,10.0,5.0,10.0,False,0.0024090350000000003,0.02550106449561712,0.0016861675,0.017848439932220284,0.0006614145,0.006239459792994021,6.1453e-05,0.0014131647704028157
p10512-203245.csv,spectrum,10.0,5.0,12.0,False,0.045599016,0.01052681742019455,0.032715098500000005,0.006417062914374115,0.0128485305,0.0032888220807470933,3.538699999999999e-05,0.000820932425073341
p1058-202331.csv,spectrum,10.0,5.0,8.0,False,0.022563726500000002,0.04847030779744062,0.015904207,0.033968779684497435,0.0065604755,0.012383350208236367,9.9044e-05,0.002118177904706818
p151010-204407.csv,spectrum,15.0,10.0,10.0,False,0.12558195600000002,0.08035155755643429,0.09187656500000001,0.05344130239047997,0.033676954,0.024325265030976803,2.8436999999999996e-05,0.002584990134977514
