center_id,name,lat,lon,water_class,notes
bajos_lami,Bajos Lami,-41.8332,-73.2666,coastal_turbid,Coordenadas del centro (ACS 3B) confirmadas por el usuario 2026-06.
pilpilehue,Pilpilehue,-42.714997,-73.618097,fjord_typical,Coordenada referencial reportada en fuentes públicas; validar contra concesión/RNA.
