depth_m,x_m,y_m,irradiance_W_m2,illuminance_lux
1,1.09419,8.25616,0,0
1,1.09419,8.45511,0,0
1,1.09419,8.65405,0,0
1,1.09419,8.85299,0,0
1,1.09419,9.05194,0,0
1,1.09419,9.25088,0,0
1,1.09419,9.44982,0,0
1,1.09419,9.64877,0,0
1,1.09419,9.84771,0,0
1,1.09419,10.04666,0,0
1,1.09419,10.24560,0,0
1,1.09419,10.44454,0,0
1,1.09419,10.64349,0,0
1,1.09419,10.84243,0,0
1,1.09419,11.04137,0,0
1,1.09419,11.24032,0,0
1,1.09419,11.43926,0,0
1,1.09419,11.63821,0,0
1,1.09419,11.83715,0,0
1,1.09419,12.03609,0,0
1,1.09419,12.23504,0,0
1,1.09419,12.43398,0,0
1,1.09419,12.63292,0,0
1,1.09419,12.83187,0,0
1,1.09419,13.03081,0,0
1,1.09419,13.22975,0,0
1,1.09419,13.42870,0,0
1,1.09419,13.62764,0,0
1,1.09419,13.82659,0,0
1,1.09419,14.02553,0,0
1,1.09419,14.22447,0,0
1,1.09419,14.42342,0,0
1,1.09419,14.62236,0,0
1,1.09419,14.82130,0,0
1,1.09419,15.02025,0,0
1,1.09419,15.21919,0,0
1,1.09419,15.41814,0,0
1,1.09419,15.61708,0,0
1,1.09419,15.81602,0,0
1,1.09419,16.01497,0,0
1,1.09419,16.21391,0,0
1,1.09419,16.41285,0,0
1,1.09419,16.61180,0,0
1,1.09419,16.81074,0,0
1,1.09419,17.00968,0,0
1,1.09419,17.20863,0,0
1,1.09419,17.40757,0,0
1,1.09419,17.60652,0,0
1,1.09419,17.80546,0,0
1,1.29313,7.26144,0,0
1,1.29313,7.46039,0,0
1,1.29313,7.65933,0,0
1,1.29313,7.85828,0,0
1,1.29313,8.05722,0,0
1,1.29313,8.25616,0,0
1,1.29313,8.45511,0,0
1,1.29313,8.65405,0,0
1,1.29313,8.85299,0,0
1,1.29313,9.05194,0,0
1,1.29313,9.25088,0,0
1,1.29313,9.44982,0,0
1,1.29313,9.64877,0,0
1,1.29313,9.84771,0,0
1,1.29313,10.04666,0,0
1,1.29313,10.24560,0,0
1,1.29313,10.44454,0,0
1,1.29313,10.64349,0,0
1,1.29313,10.84243,0,0
1,1.29313,11.04137,0,0
1,1.29313,11.24032,0,0
1,1.29313,11.43926,0,0
1,1.29313,11.63821,0,0
1,1.29313,11.83715,0,0
1,1.29313,12.03609,0,0
1,1.29313,12.23504,0,0
1,1.29313,12.43398,0,0
1,1.29313,12.63292,0,0
1,1.29313,12.83187,0,0
1,1.29313,13.03081,0,0
1,1.29313,13.22975,0,0
1,1.29313,13.42870,0,0
1,1.29313,13.62764,0,0
1,1.29313,13.82659,0,0
1,1.29313,14.02553,0,0
1,1.29313,14.22447,0,0
1,1.29313,14.42342,0,0
1,1.29313,14.62236,0,0
1,1.29313,14.82130,0,0
1,1.29313,15.02025,0,0
1,1.29313,15.21919,0,0
1,1.29313,15.41814,0,0
1,1.29313,15.61708,0,0
1,1.29313,15.81602,0,0
1,1.29313,16.01497,0,0
1,1.29313,16.21391,0,0
1,1.29313,16.41285,0,0
1,1.29313,16.61180,0,0
1,1.29313,16.81074,0,0
1,1.29313,17.00968,0,0
1,1.29313,17.20863,0,0
1,1.29313,17.40757,0,0
1,1.29313,17.60652,0,0
1,1.29313,17.80546,0,0
1,1.29313,18.00440,0,0
1,1.29313,18.20335,0,0
1,1.49208,6.86356,0,0
1,1.49208,7.06250,0,0
1,1.49208,7.26144,0,0
1,1.49208,7.46039,0,0
1,1.49208,7.65933,0,0
1,1.49208,7.85828,0,0
1,1.49208,8.05722,0,0
1,1.49208,8.25616,0,0
1,1.49208,8.45511,0,0
1,1.49208,8.65405,0,0
1,1.49208,8.85299,0,0
1,1.49208,9.05194,0,0
1,1.49208,9.25088,0,0
1,1.49208,9.44982,0,0
1,1.49208,9.64877,0,0
1,1.49208,9.84771,0,0
1,1.49208,10.04666,0,0
1,1.49208,10.24560,0,0
1,1.49208,10.44454,0,0
1,1.49208,10.64349,0,0
1,1.49208,10.84243,0,0
1,1.49208,11.04137,0,0
1,1.49208,11.24032,0,0
1,1.49208,11.43926,0,0
1,1.49208,11.63821,0,0
1,1.49208,11.83715,0,0
1,1.49208,12.03609,0,0
1,1.49208,12.23504,0,0
1,1.49208,12.43398,0,0
1,1.49208,12.63292,0,0
1,1.49208,12.83187,0,0
1,1.49208,13.03081,0,0
1,1.49208,13.22975,0,0
1,1.49208,13.42870,0,0
1,1.49208,13.62764,0,0
1,1.49208,13.82659,0,0
1,1.49208,14.02553,0,0
1,1.49208,14.22447,0,0
1,1.49208,14.42342,0,0
1,1.49208,14.62236,0,0
1,1.49208,14.82130,0,0
1,1.49208,15.02025,0,0
1,1.49208,15.21919,0,0
1,1.49208,15.41814,0,0
1,1.49208,15.61708,0,0
1,1.49208,15.81602,0,0
1,1.49208,16.01497,0,0
1,1.49208,16.21391,0,0
1,1.49208,16.41285,0,0
1,1.49208,16.61180,0,0
1,1.49208,16.81074,0,0
1,1.49208,17.00968,0,0
1,1.49208,17.20863,0,0
1,1.49208,17.40757,0,0
1,1.49208,17.60652,0,0
1,1.49208,17.80546,0,0
1,1.49208,18.00440,0,0
1,1.49208,18.20335,0,0
1,1.49208,18.40229,0,0
1,1.49208,18.60123,0,0
1,1.69102,6.46567,0,0
1,1.69102,6.66461,0,0
1,1.69102,6.86356,0,0
1,1.69102,7.06250,0,0
1,1.69102,7.26144,0,0
1,1.69102,7.46039,0,0
1,1.69102,7.65933,0,0
1,1.69102,7.85828,0,0
1,1.69102,8.05722,0,0
1,1.69102,8.25616,0,0
1,1.69102,8.45511,0,0
1,1.69102,8.65405,0,0
1,1.69102,8.85299,0,0
1,1.69102,9.05194,0,0
1,1.69102,9.25088,0,0
1,1.69102,9.44982,0,0
1,1.69102,9.64877,0,0
1,1.69102,9.84771,0,0
1,1.69102,10.04666,0,0
1,1.69102,10.24560,0,0
1,1.69102,10.44454,0,0
1,1.69102,10.64349,0,0
1,1.69102,10.84243,0,0
1,1.69102,11.04137,0,0
1,1.69102,11.24032,0,0
1,1.69102,11.43926,0,0
1,1.69102,11.63821,0,0
1,1.69102,11.83715,0,0
1,1.69102,12.03609,0,0
1,1.69102,12.23504,0,0
1,1.69102,12.43398,0,0
1,1.69102,12.63292,0,0
1,1.69102,12.83187,0,0
1,1.69102,13.03081,0,0
1,1.69102,13.22975,0,0
1,1.69102,13.42870,0,0
1,1.69102,13.62764,0,0
1,1.69102,13.82659,0,0
1,1.69102,14.02553,0,0
1,1.69102,14.22447,0,0
1,1.69102,14.42342,0,0
1,1.69102,14.62236,0,0
1,1.69102,14.82130,0,0
1,1.69102,15.02025,0,0
1,1.69102,15.21919,0,0
1,1.69102,15.41814,0,0
1,1.69102,15.61708,0,0
1,1.69102,15.81602,0,0
1,1.69102,16.01497,0,0
1,1.69102,16.21391,0,0
1,1.69102,16.41285,0,0
1,1.69102,16.61180,0,0
1,1.69102,16.81074,0,0
1,1.69102,17.00968,0,0
1,1.69102,17.20863,0,0
1,1.69102,17.40757,0,0
1,1.69102,17.60652,0,0
1,1.69102,17.80546,0,0
1,1.69102,18.00440,0,0
1,1.69102,18.20335,0,0
1,1.69102,18.40229,0,0
1,1.69102,18.60123,0,0
1,1.69102,18.80018,0,0
1,1.69102,18.99912,0,0
1,1.88996,6.06778,0,0
1,1.88996,6.26673,0,0
1,1.88996,6.46567,0,0
1,1.88996,6.66461,0,0
1,1.88996,6.86356,0,0
1,1.88996,7.06250,0,0
1,1.88996,7.26144,0,0
1,1.88996,7.46039,0,0
1,1.88996,7.65933,0,0
1,1.88996,7.85828,0,0
1,1.88996,8.05722,0,0
1,1.88996,8.25616,0,0
1,1.88996,8.45511,0,0
1,1.88996,8.65405,0,0
1,1.88996,8.85299,0,0
1,1.88996,9.05194,0,0
1,1.88996,9.25088,0,0
1,1.88996,9.44982,0,0
1,1.88996,9.64877,0,0
1,1.88996,9.84771,0,0
1,1.88996,10.04666,0,0
1,1.88996,10.24560,0,0
1,1.88996,10.44454,0,0
1,1.88996,10.64349,0,0
1,1.88996,10.84243,0,0
1,1.88996,11.04137,0,0
1,1.88996,11.24032,0,0
1,1.88996,11.43926,0,0
1,1.88996,11.63821,0,0
1,1.88996,11.83715,0,0
1,1.88996,12.03609,0,0
1,1.88996,12.23504,0,0
1,1.88996,12.43398,0,0
1,1.88996,12.63292,0,0
1,1.88996,12.83187,0,0
1,1.88996,13.03081,0,0
1,1.88996,13.22975,0,0
1,1.88996,13.42870,0,0
1,1.88996,13.62764,0,0
1,1.88996,13.82659,0,0
1,1.88996,14.02553,0,0
1,1.88996,14.22447,0,0
1,1.88996,14.42342,0,0
1,1.88996,14.62236,0,0
1,1.88996,14.82130,0,0
1,1.88996,15.02025,0,0
1,1.88996,15.21919,0,0
1,1.88996,15.41814,0,0
1,1.88996,15.61708,0,0
1,1.88996,15.81602,0,0
1,1.88996,16.01497,0,0
1,1.88996,16.21391,0,0
1,1.88996,16.41285,0,0
1,1.88996,16.61180,0,0
1,1.88996,16.81074,0,0
1,1.88996,17.00968,0,0
1,1.88996,17.20863,0,0
1,1.88996,17.40757,0,0
1,1.88996,17.60652,0,0
1,1.88996,17.80546,0,0
1,1.88996,18.00440,0,0
1,1.88996,18.20335,0,0
1,1.88996,18.40229,0,0
1,1.88996,18.60123,0,0
1,1.88996,18.80018,0,0
