scenario,depth_m,cell_area_m2,valid_area_m2,plane_radiant_flux_W,irradiance_mean_W_m2,irradiance_p10_W_m2,irradiance_median_W_m2,irradiance_p90_W_m2,irradiance_p99_W_m2,irradiance_max_grid_W_m2,illuminance_mean_lux,illuminance_median_lux,coverage_ge_0p017_pct,coverage_ge_0p1_pct,coverage_ge_1p0_pct
nominal,1.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,2.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,3.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,4.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nominal,6.0,0.0395785873602882,510.24714824883546,286.26117904214556,0.5610245545214547,0.0019230113097567832,0.020761778548347112,0.716728708904989,12.90749425238104,14.261275052044173,170.8142108422931,6.195256246427379,53.66894197952219,24.09246044058331,8.563450201675456
nominal,7.0,0.0395785873602882,510.24714824883546,185.9834085315915,0.36449671334741446,0.005682806638693241,0.0655821129796155,1.3978412813458745,2.5794874591003802,2.7101015796384953,110.9405722738821,19.588489646977667,72.2385975798945,41.894197952218434,13.341607198262489
nominal,8.0,0.0395785873602882,510.24714824883546,122.96933010090662,0.24099954408944071,0.010760700597796208,0.11836079710797089,0.7426681184182125,0.8615956326888207,0.9122041858062853,73.33065022467761,35.51358262838985,83.36953149239838,53.04840210983556,0.0
nominal,9.0,0.0395785873602882,510.24714824883546,81.92820534261752,0.16056572902718716,0.016344325308460417,0.13927109313323865,0.3448319089239515,0.3767052524861984,0.41117744648517435,48.845243634138065,41.27571143299795,89.56717344089358,58.36177474402731,0.0
nominal,10.0,0.0395785873602882,510.24714824883546,54.68376933503771,0.10717114151977529,0.02074748209327249,0.11600890436561453,0.18376515255318437,0.20088440190435955,0.2269504088868225,32.58773014234166,33.33147989926328,92.59230530561588,54.69283276450512,0.0
optical_low,1.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optical_low,2.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optical_low,3.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optical_low,4.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optical_low,6.0,0.0395785873602882,510.24714824883546,226.74150255530793,0.4443758349918919,0.0011084301630775106,0.013778643023786789,0.5465875175871241,10.411167729764944,11.587462872682222,135.68860704146675,4.055894276498488,46.082842072603164,20.857896369841765,7.72572137759851
optical_low,7.0,0.0395785873602882,510.24714824883546,136.89381437259206,0.268289229724087,0.0032320754086326833,0.04280220603701674,1.031660698966732,1.9727244819100915,2.069017922834414,81.89992055775112,12.670509045129915,64.81538938876822,34.02109835556934,10.285448340055849
optical_low,8.0,0.0395785873602882,510.24714824883546,84.50595271791956,0.1656176874441011,0.006030640615391689,0.07488359478831123,0.5275725205338483,0.6225090069085223,0.655390429905077,50.54368809711595,22.84259662763035,74.25535215637605,44.578032888613095,0.0
optical_low,9.0,0.0395785873602882,510.24714824883546,52.74674392942933,0.1033748921683458,0.00890324206391565,0.08600611780931001,0.2325021495040759,0.2546853485152414,0.28021564746321975,31.53874045614874,25.672890923863697,80.12721067328576,45.997517840521255,0.0
optical_low,10.0,0.0395785873602882,510.24714824883546,33.074922307965046,0.06482137611445343,0.010982177853689953,0.06926780284831371,0.1141854530877046,0.12508389424551167,0.13891614248792636,19.770790570395125,19.838033976986253,82.9118833385045,29.173130623642567,0.0
optical_high,1.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optical_high,2.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optical_high,3.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optical_high,4.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optical_high,6.0,0.0395785873602882,510.24714824883546,339.7550659243805,0.6658637232768815,0.0033575392737592194,0.03046376550059373,0.8892488345770119,14.95775899639771,16.380554522128588,203.31022107822074,9.095015364594731,60.88271796462923,27.51318647223084,9.432206019236736
optical_high,7.0,0.0395785873602882,510.24714824883546,241.71643405389634,0.4737242234149968,0.010120207423668984,0.0981548658647588,1.8057431024639705,3.18583980772498,3.3583175956347575,144.66600254000662,29.387477545844227,81.17437170338194,49.60440583307478,15.645361464474092
optical_high,8.0,0.0395785873602882,510.24714824883546,173.96328659395195,0.34093926284741166,0.01953957836954226,0.18333371648846894,1.0111879230842942,1.1487051138568316,1.2183887063623804,104.1306547208908,54.400339390312325,91.92522494570277,61.45671734408936,10.471610300961837
optical_high,9.0,0.0395785873602882,510.24714824883546,125.60520602998544,0.246165424855507,0.03059016359480514,0.22502062753175522,0.49854342430983,0.5454305192360173,0.6085681854027832,75.20665149785097,67.06667338212036,97.16878684455477,67.55352156376048,0.0
optical_high,10.0,0.0395785873602882,510.24714824883546,90.53345607808068,0.1774305968956237,0.04000998315236496,0.19545018853634039,0.296576950709067,0.32764773103916167,0.372726884281057,54.21646379186522,55.71575352059391,99.31740614334471,69.54700589512876,0.0
layout_inner_R3,1.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layout_inner_R3,2.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layout_inner_R3,3.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layout_inner_R3,4.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layout_inner_R3,6.0,0.0395785873602882,510.24714824883546,286.4025783731891,0.5613016738185028,0.0007127068426367208,0.007615614191204307,0.7196629475825154,13.041612418694315,14.261908132829559,171.35161201057844,2.331959576058097,40.746199193298175,25.504188644120383,8.54017995656221
layout_inner_R3,7.0,0.0395785873602882,510.24714824883546,186.38592214558747,0.3652855734427181,0.0021169256399977228,0.023418740416971683,1.4466029250066756,2.6065180008587796,2.7481888781881008,111.48956719888729,7.148396268843165,53.9792119143655,34.66490847036922,14.039714551659943
layout_inner_R3,8.0,0.0395785873602882,510.24714824883546,123.73564117952822,0.24250138703212362,0.004143148328367591,0.04418752457659244,0.852793940710707,0.9566420139957498,1.0296507411849385,73.99953495785957,13.113248791162238,63.46571517219981,40.44368600682594,0.08532423208191127
layout_inner_R3,9.0,0.0395785873602882,510.24714824883546,83.09180406447437,0.16284619002701894,0.0062843044710184995,0.06121007084925445,0.4724371526765712,0.5859644674846558,0.6390072438554267,49.68126919740716,18.524105945666967,70.28389699038163,43.49984486503258,0.0
layout_inner_R3,10.0,0.0395785873602882,510.24714824883546,56.17401752025991,0.11009178142993788,0.008385687771489589,0.0646853561714978,0.28264338268430256,0.3889608925299281,0.42990379056354056,33.57753976619448,19.544278208332813,74.73627055538319,41.40552280484021,0.0
layout_outer_2R3,1.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layout_outer_2R3,2.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layout_outer_2R3,3.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layout_outer_2R3,4.0,0.0395785873602882,510.24714824883546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layout_outer_2R3,6.0,0.0395785873602882,510.24714824883546,285.65636424151745,0.5598392175671888,0.002860703525776392,0.017354044381814142,0.6938822063468408,13.030984170410301,14.251252942438057,171.19721394666936,5.18960783061599,50.55848588271796,23.813217499224326,8.493639466335711
layout_outer_2R3,7.0,0.0395785873602882,510.24714824883546,184.13106767397994,0.36086643170063065,0.008201231004226785,0.053662352653696205,1.3795977008184037,2.577226732421268,2.7153980885703937,110.37367615758106,16.191085790522934,76.77629537697797,39.04747130003103,13.256282966180578
layout_outer_2R3,8.0,0.0395785873602882,510.24714824883546,119.49747570871018,0.23419528383220692,0.01576660015837154,0.09733758346332552,0.7379961482333666,0.8585405213320677,0.9242204960255472,71.6431660135354,29.29130683490602,88.7837418554142,49.44151411728204,0.0
layout_outer_2R3,9.0,0.0395785873602882,510.24714824883546,77.17246097578088,0.15124525681453824,0.023522318296909907,0.11751166666571253,0.3352742895254975,0.3673660034348707,0.4037634876142966,46.29530631220961,35.13614529299588,94.36084393422277,54.64629227427862,0.0
layout_outer_2R3,10.0,0.0395785873602882,510.24714824883546,49.79382427822673,0.09758765815569725,0.029370905973918303,0.0947237488347441,0.1650225916186685,0.17932521369367005,0.20859273894698796,29.87680978266653,28.230293565004246,96.39311200744648,47.9211914365498,0.0
literal_diameter_80m,1.0,0.390625,5035.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
literal_diameter_80m,2.0,0.390625,5035.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
literal_diameter_80m,3.0,0.390625,5035.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
literal_diameter_80m,4.0,0.390625,5035.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
literal_diameter_80m,6.0,0.390625,5035.9375,286.4881475922142,0.05688874168756348,5.815017516610322e-07,2.5009975408900274e-05,0.00298197552480839,0.5050375432517632,13.529260923317215,17.39542522964955,0.006708547795312193,5.0884269314303445,2.4821594787465093,0.9928637914986037
literal_diameter_80m,7.0,0.390625,5035.9375,186.60821823836466,0.037055308616988324,1.2128566528028978e-06,6.203239115972153e-05,0.009161711074995244,1.1346244776585364,2.5555288408232766,11.331453730367055,0.017478976885865936,7.94291033198883,3.8163201985727584,1.3651877133105803
literal_diameter_80m,8.0,0.390625,5035.9375,124.14506221388257,0.0246518274331011,2.1468321968927425e-06,0.00011324725562388637,0.01760960480718832,0.7002336606162856,0.8470273550550981,7.5388703059229165,0.032811360512480764,10.238907849829351,5.0884269314303445,0.0
