Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-13
Test time,20:48:17
E(lx),1.54
Candle E(fc),0.14
CCT(K),100000
Duv,0.04060
CIE x,0.1561
CIE y,0.1822
CIE u,0.1281
CIE v,0.2243
CIE u',0.1281
CIE v',0.3364
SDCM,100.00
Ra,23.5
R1,4
R2,60
R3,18
R4,-20
R5,28
R6,57
R7,40
R8,1
R9,-99
R10,39
R11,-40
R12,52
R13,14
R14,50
R15,7
Ee(mW/c©O),0.001
S/P,5.833
Dominant(nm),479.60
Purity(%),73.7
Half width(nm),23.7
Peak(nm),457.9
Center(nm),460.9
Centroid(nm),489.3
R ratio(%),2.2
G ratio(%),26.2
B ratio(%),71.6
CIE1931 X,1.936
CIE1931 Y,2.261
CIE1931 Z,8.210
TLCI-2012,4
Integral Time(ms),5000.00
Peak Signal,18845
Dark Signal,4648
Compensate level,2852
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000157,
382,0.001078,
383,0.001748,
384,0.002661,
385,0.002349,
386,0.001331,
387,0.000543,
388,0.000412,
389,0.000810,
390,0.000812,
391,0.001149,
392,0.000507,
393,0.000497,
394,0.000456,
395,0.000553,
396,0.000607,
397,0.000480,
398,0.000151,
399,0.000031,
400,0.000068,
401,0.000314,
402,0.000802,
403,0.001274,
404,0.001088,
405,0.000872,
406,0.000223,
407,0.000186,
408,0.000110,
409,0.000000,
410,0.000099,
411,0.000263,
412,0.000332,
413,0.000360,
414,0.000112,
415,0.000066,
416,0.000117,
417,0.000249,
418,0.000485,
419,0.000397,
420,0.000332,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000015,
425,0.000015,
426,0.000015,
427,0.000004,
428,0.000000,
429,0.000204,
430,0.000648,
431,0.001743,
432,0.002239,
433,0.002404,
434,0.001700,
435,0.000839,
436,0.000508,
437,0.001583,
438,0.004525,
439,0.008180,
440,0.012839,
441,0.017319,
442,0.021750,
443,0.027368,
444,0.033037,
445,0.042177,
446,0.052350,
447,0.064088,
448,0.078281,
449,0.094592,
450,0.113676,
451,0.132233,
452,0.148988,
453,0.165301,
454,0.180292,
455,0.193663,
456,0.202400,
457,0.206795,
458,0.207481,
459,0.205594,
460,0.199430,
461,0.190800,
462,0.181496,
463,0.172524,
464,0.164269,
465,0.155674,
466,0.147623,
467,0.140100,
468,0.134421,
469,0.129055,
470,0.124376,
471,0.119531,
472,0.115235,
473,0.111111,
474,0.106845,
475,0.101486,
476,0.095628,
477,0.088741,
478,0.083041,
479,0.079296,
480,0.075266,
481,0.070564,
482,0.066280,
483,0.063060,
484,0.061210,
485,0.058144,
486,0.054030,
487,0.050679,
488,0.048644,
489,0.048519,
490,0.048852,
491,0.049657,
492,0.048437,
493,0.047694,
494,0.047591,
495,0.045428,
496,0.043845,
497,0.041444,
498,0.041054,
499,0.041239,
500,0.042233,
501,0.041617,
502,0.039615,
503,0.038440,
504,0.037949,
505,0.038739,
506,0.038380,
507,0.036502,
508,0.036535,
509,0.035971,
510,0.035514,
511,0.034702,
512,0.033313,
513,0.032327,
514,0.032087,
515,0.031733,
516,0.032984,
517,0.032489,
518,0.031476,
519,0.030262,
520,0.029564,
521,0.030070,
522,0.030482,
523,0.031522,
524,0.032582,
525,0.032339,
526,0.032389,
527,0.033153,
528,0.032438,
529,0.031657,
530,0.030404,
531,0.031129,
532,0.032060,
533,0.032546,
534,0.031961,
535,0.033450,
536,0.034731,
537,0.034130,
538,0.033061,
539,0.030612,
540,0.029441,
541,0.028536,
542,0.029297,
543,0.031115,
544,0.031822,
545,0.032750,
546,0.031170,
547,0.029467,
548,0.027223,
549,0.024493,
550,0.023449,
551,0.024376,
552,0.025138,
553,0.025615,
554,0.023969,
555,0.021309,
556,0.019392,
557,0.019009,
558,0.018768,
559,0.019636,
560,0.020649,
561,0.021270,
562,0.020096,
563,0.019557,
564,0.019874,
565,0.020840,
566,0.019490,
567,0.015528,
568,0.012347,
569,0.012631,
570,0.013711,
571,0.013656,
572,0.012533,
573,0.010741,
574,0.010554,
575,0.009782,
576,0.009074,
577,0.008536,
578,0.008252,
579,0.007427,
580,0.007017,
581,0.007092,
582,0.007287,
583,0.006154,
584,0.003857,
585,0.001798,
586,0.000945,
587,0.000913,
588,0.001014,
589,0.000639,
590,0.000669,
591,0.000287,
592,0.000713,
593,0.001272,
594,0.002110,
595,0.002121,
596,0.002142,
597,0.001920,
598,0.001727,
599,0.001305,
600,0.000457,
601,0.000069,
602,0.000150,
603,0.000223,
604,0.000239,
605,0.000462,
606,0.000441,
607,0.000632,
608,0.000489,
609,0.000293,
610,0.000157,
611,0.000168,
612,0.000169,
613,0.000165,
614,0.000000,
615,0.000000,
616,0.000000,
617,0.000000,
618,0.000028,
619,0.000190,
620,0.000191,
621,0.000191,
622,0.000054,
623,0.000000,
624,0.000113,
625,0.000151,
626,0.000152,
627,0.000114,
628,0.000231,
629,0.000923,
630,0.000933,
631,0.000837,
632,0.000283,
633,0.000060,
634,0.000101,
635,0.000102,
636,0.000082,
637,0.000571,
638,0.000651,
639,0.000677,
640,0.000506,
641,0.000630,
642,0.000855,
643,0.000948,
644,0.000678,
645,0.000318,
646,0.000302,
647,0.000093,
648,0.000034,
649,0.000000,
650,0.000000,
651,0.000000,
652,0.000000,
653,0.000075,
654,0.000190,
655,0.000191,
656,0.000193,
657,0.000000,
658,0.000000,
659,0.000000,
660,0.000000,
661,0.000390,
662,0.001097,
663,0.001198,
664,0.001326,
665,0.001500,
666,0.001436,
667,0.002362,
668,0.001955,
669,0.001792,
670,0.001157,
671,0.000021,
672,0.000000,
673,0.000429,
674,0.000788,
675,0.000792,
676,0.000663,
677,0.000474,
678,0.000321,
679,0.000330,
680,0.000687,
681,0.001411,
682,0.001841,
683,0.001734,
684,0.000799,
685,0.000143,
686,0.000041,
687,0.000516,
688,0.000541,
689,0.000610,
690,0.000309,
691,0.000089,
692,0.000018,
693,0.000000,
694,0.000000,
695,0.000000,
696,0.000000,
697,0.000000,
698,0.000009,
699,0.000083,
700,0.000083,
701,0.000084,
702,0.000037,
703,0.000040,
704,0.000444,
705,0.000748,
706,0.001349,
707,0.003517,
708,0.003391,
709,0.004286,
710,0.002803,
711,0.001375,
712,0.001436,
713,0.000881,
714,0.001139,
715,0.001208,
716,0.002699,
717,0.003495,
718,0.003422,
719,0.002116,
720,0.000185,
721,0.000233,
722,0.000886,
723,0.000963,
724,0.001256,
725,0.000988,
726,0.000587,
727,0.000413,
728,0.000506,
729,0.001616,
730,0.002066,
731,0.002088,
732,0.000910,
733,0.000046,
734,0.000104,
735,0.000140,
736,0.000859,
737,0.000913,
738,0.000814,
739,0.000496,
740,0.000087,
741,0.000170,
742,0.000171,
743,0.000263,
744,0.000274,
745,0.000276,
746,0.000320,
747,0.000272,
748,0.000426,
749,0.000401,
750,0.001476,
751,0.001566,
752,0.001917,
753,0.003491,
754,0.002607,
755,0.002786,
756,0.001374,
757,0.000275,
758,0.000609,
759,0.002093,
760,0.005547,
761,0.007908,
762,0.006770,
763,0.005449,
764,0.001310,
765,0.000662,
766,0.000505,
767,0.000000,
768,0.001686,
769,0.001926,
770,0.002059,
771,0.001800,
772,0.002565,
773,0.003736,
774,0.003471,
775,0.002394,
776,0.001633,
777,0.003349,
778,0.004881,
779,0.004893,
780,0.003059,
