Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-13
Test time,20:13:58
E(lx),1.80
Candle E(fc),0.17
CCT(K),100000
Duv,0.04363
CIE x,0.1681
CIE y,0.2100
CIE u,0.1297
CIE v,0.2431
CIE u',0.1297
CIE v',0.3646
SDCM,94.59
Ra,33.4
R1,12
R2,66
R3,36
R4,-6
R5,34
R6,66
R7,51
R8,8
R9,-99
R10,50
R11,-20
R12,47
R13,23
R14,60
R15,9
Ee(mW/c©O),0.001
S/P,5.028
Dominant(nm),481.30
Purity(%),66.7
Half width(nm),23.9
Peak(nm),457.9
Center(nm),460.7
Centroid(nm),493.7
R ratio(%),2.3
G ratio(%),31.1
B ratio(%),66.6
CIE1931 X,2.108
CIE1931 Y,2.632
CIE1931 Z,7.796
TLCI-2012,6
Integral Time(ms),5000.00
Peak Signal,16828
Dark Signal,3883
Compensate level,2830
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000169,
381,0.000361,
382,0.001628,
383,0.002236,
384,0.003391,
385,0.002824,
386,0.001514,
387,0.000441,
388,0.000132,
389,0.000335,
390,0.000324,
391,0.000312,
392,0.000006,
393,0.000050,
394,0.000253,
395,0.000282,
396,0.000274,
397,0.000054,
398,0.000098,
399,0.000111,
400,0.000109,
401,0.000053,
402,0.000342,
403,0.001018,
404,0.000996,
405,0.001109,
406,0.000244,
407,0.000172,
408,0.000149,
409,0.000053,
410,0.000146,
411,0.000249,
412,0.000395,
413,0.000612,
414,0.000430,
415,0.000341,
416,0.000249,
417,0.000351,
418,0.000746,
419,0.000639,
420,0.000550,
421,0.000005,
422,0.000000,
423,0.000000,
424,0.000201,
425,0.000199,
426,0.000198,
427,0.000049,
428,0.000000,
429,0.000294,
430,0.000912,
431,0.002905,
432,0.004473,
433,0.005511,
434,0.004637,
435,0.003104,
436,0.002567,
437,0.004594,
438,0.009075,
439,0.013769,
440,0.019010,
441,0.023457,
442,0.027857,
443,0.033395,
444,0.038575,
445,0.046883,
446,0.055708,
447,0.066478,
448,0.079619,
449,0.094785,
450,0.111625,
451,0.127537,
452,0.141633,
453,0.156037,
454,0.169419,
455,0.180741,
456,0.187120,
457,0.189462,
458,0.189031,
459,0.186341,
460,0.179767,
461,0.171015,
462,0.162351,
463,0.154663,
464,0.147646,
465,0.140111,
466,0.132971,
467,0.126291,
468,0.122051,
469,0.117778,
470,0.114460,
471,0.110320,
472,0.106212,
473,0.101929,
474,0.097633,
475,0.092702,
476,0.088097,
477,0.082555,
478,0.078097,
479,0.074771,
480,0.071192,
481,0.066727,
482,0.063211,
483,0.060495,
484,0.059352,
485,0.056759,
486,0.052835,
487,0.049534,
488,0.047254,
489,0.046902,
490,0.047700,
491,0.049405,
492,0.049224,
493,0.048944,
494,0.048873,
495,0.046590,
496,0.044869,
497,0.042504,
498,0.042271,
499,0.042644,
500,0.044041,
501,0.043904,
502,0.042188,
503,0.041343,
504,0.041048,
505,0.041800,
506,0.041342,
507,0.039111,
508,0.039463,
509,0.039425,
510,0.039273,
511,0.038555,
512,0.037188,
513,0.036325,
514,0.036208,
515,0.035993,
516,0.037077,
517,0.036856,
518,0.035400,
519,0.033819,
520,0.033087,
521,0.033850,
522,0.034762,
523,0.035921,
524,0.036659,
525,0.036174,
526,0.036226,
527,0.037190,
528,0.036641,
529,0.036413,
530,0.035682,
531,0.036589,
532,0.037308,
533,0.036788,
534,0.036003,
535,0.037639,
536,0.039470,
537,0.039047,
538,0.037883,
539,0.035536,
540,0.034537,
541,0.033741,
542,0.034220,
543,0.036020,
544,0.036532,
545,0.037424,
546,0.036112,
547,0.034678,
548,0.032727,
549,0.029904,
550,0.028304,
551,0.029059,
552,0.030032,
553,0.030946,
554,0.029618,
555,0.027343,
556,0.025310,
557,0.024822,
558,0.024164,
559,0.024958,
560,0.025868,
561,0.026509,
562,0.025683,
563,0.025093,
564,0.025477,
565,0.026577,
566,0.025307,
567,0.021563,
568,0.018829,
569,0.019150,
570,0.020530,
571,0.020457,
572,0.019188,
573,0.017562,
574,0.017710,
575,0.017103,
576,0.016450,
577,0.016048,
578,0.015908,
579,0.015229,
580,0.014502,
581,0.014074,
582,0.013746,
583,0.012179,
584,0.009470,
585,0.006670,
586,0.004752,
587,0.003643,
588,0.003532,
589,0.003446,
590,0.004134,
591,0.003317,
592,0.003305,
593,0.003397,
594,0.003937,
595,0.003511,
596,0.003747,
597,0.003523,
598,0.003896,
599,0.003332,
600,0.001697,
601,0.000747,
602,0.000344,
603,0.000523,
604,0.000574,
605,0.001178,
606,0.000885,
607,0.001034,
608,0.000746,
609,0.000343,
610,0.000470,
611,0.000602,
612,0.000566,
613,0.000547,
614,0.000025,
615,0.000000,
616,0.000000,
617,0.000000,
618,0.000081,
619,0.000503,
620,0.000504,
621,0.000506,
622,0.000138,
623,0.000000,
624,0.000352,
625,0.000525,
626,0.000527,
627,0.000437,
628,0.000210,
629,0.000860,
630,0.000908,
631,0.000812,
632,0.000323,
633,0.000011,
634,0.000000,
635,0.000000,
636,0.000000,
637,0.000287,
638,0.000435,
639,0.000766,
640,0.000719,
641,0.001038,
642,0.000923,
643,0.000973,
644,0.000721,
645,0.000389,
646,0.000402,
647,0.000101,
648,0.000076,
649,0.000035,
650,0.000035,
651,0.000035,
652,0.000018,
653,0.000000,
654,0.000000,
655,0.000000,
