Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-13
Test time,20:09:35
E(lx),0.88
Candle E(fc),0.08
CCT(K),100000
Duv,0.04054
CIE x,0.1645
CIE y,0.1967
CIE u,0.1307
CIE v,0.2346
CIE u',0.1307
CIE v',0.3518
SDCM,95.21
Ra,31.3
R1,11
R2,66
R3,30
R4,-10
R5,33
R6,65
R7,47
R8,8
R9,-99
R10,50
R11,-26
R12,51
R13,22
R14,57
R15,11
Ee(mW/c©O),0.000
S/P,5.303
Dominant(nm),480.30
Purity(%),69.4
Half width(nm),21.0
Peak(nm),456.2
Center(nm),459.3
Centroid(nm),496.4
R ratio(%),4.4
G ratio(%),28.3
B ratio(%),67.3
CIE1931 X,1.080
CIE1931 Y,1.291
CIE1931 Z,4.194
TLCI-2012,8
Integral Time(ms),5000.00
Peak Signal,11107
Dark Signal,3883
Compensate level,2830
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000127,
381,0.000374,
382,0.001465,
383,0.002238,
384,0.003463,
385,0.002895,
386,0.001670,
387,0.000408,
388,0.000339,
389,0.000849,
390,0.000822,
391,0.001105,
392,0.000420,
393,0.000400,
394,0.000444,
395,0.000640,
396,0.000621,
397,0.000502,
398,0.000228,
399,0.000204,
400,0.000204,
401,0.000118,
402,0.000358,
403,0.001018,
404,0.000981,
405,0.001139,
406,0.000302,
407,0.000234,
408,0.000177,
409,0.000045,
410,0.000261,
411,0.000549,
412,0.000797,
413,0.001017,
414,0.000584,
415,0.000424,
416,0.000281,
417,0.000380,
418,0.000860,
419,0.000731,
420,0.000639,
421,0.000018,
422,0.000000,
423,0.000000,
424,0.000280,
425,0.000277,
426,0.000275,
427,0.000068,
428,0.000000,
429,0.000146,
430,0.000651,
431,0.002340,
432,0.003006,
433,0.003223,
434,0.002018,
435,0.000848,
436,0.000471,
437,0.001441,
438,0.004012,
439,0.006608,
440,0.009861,
441,0.012280,
442,0.014344,
443,0.016656,
444,0.018190,
445,0.022628,
446,0.027344,
447,0.033316,
448,0.041031,
449,0.050448,
450,0.061732,
451,0.071851,
452,0.079218,
453,0.086844,
454,0.093813,
455,0.100605,
456,0.104391,
457,0.105099,
458,0.104350,
459,0.102510,
460,0.098094,
461,0.092825,
462,0.087742,
463,0.084134,
464,0.080925,
465,0.077208,
466,0.073438,
467,0.069467,
468,0.066343,
469,0.062973,
470,0.060315,
471,0.057631,
472,0.055669,
473,0.053593,
474,0.051337,
475,0.049218,
476,0.047096,
477,0.043998,
478,0.041532,
479,0.040054,
480,0.038047,
481,0.035168,
482,0.032795,
483,0.031384,
484,0.030933,
485,0.028698,
486,0.025657,
487,0.022980,
488,0.021846,
489,0.022285,
490,0.023238,
491,0.025187,
492,0.025235,
493,0.025431,
494,0.025517,
495,0.023436,
496,0.021809,
497,0.019693,
498,0.019475,
499,0.019941,
500,0.021547,
501,0.021675,
502,0.020486,
503,0.019801,
504,0.019919,
505,0.021140,
506,0.021086,
507,0.019027,
508,0.019246,
509,0.018826,
510,0.018995,
511,0.019009,
512,0.018232,
513,0.017703,
514,0.017930,
515,0.017901,
516,0.019238,
517,0.018652,
518,0.017262,
519,0.015812,
520,0.015401,
521,0.015992,
522,0.016534,
523,0.017512,
524,0.018685,
525,0.018506,
526,0.018623,
527,0.019261,
528,0.018622,
529,0.018451,
530,0.017717,
531,0.018467,
532,0.019082,
533,0.018412,
534,0.017754,
535,0.019291,
536,0.021186,
537,0.020738,
538,0.019766,
539,0.017545,
540,0.016656,
541,0.016064,
542,0.016510,
543,0.018214,
544,0.018648,
545,0.019639,
546,0.019005,
547,0.018054,
548,0.016306,
549,0.013431,
550,0.011952,
551,0.013296,
552,0.014671,
553,0.015732,
554,0.014434,
555,0.011982,
556,0.010552,
557,0.010679,
558,0.010743,
559,0.011614,
560,0.012312,
561,0.012901,
562,0.012360,
563,0.011937,
564,0.012591,
565,0.014033,
566,0.013511,
567,0.010116,
568,0.007563,
569,0.007615,
570,0.008776,
571,0.009125,
572,0.007965,
573,0.006781,
574,0.006948,
575,0.006433,
576,0.006433,
577,0.006887,
578,0.007674,
579,0.007520,
580,0.006877,
581,0.006637,
582,0.006687,
583,0.005537,
584,0.003569,
585,0.001195,
586,0.000229,
587,0.000373,
588,0.000837,
589,0.001304,
590,0.001575,
591,0.001119,
592,0.001153,
593,0.001274,
594,0.001592,
595,0.001512,
596,0.001751,
597,0.001978,
598,0.002279,
599,0.001801,
600,0.000796,
601,0.000227,
602,0.000225,
603,0.000326,
604,0.000390,
605,0.000890,
606,0.000741,
607,0.000833,
608,0.000520,
609,0.000183,
610,0.000150,
611,0.000160,
612,0.000148,
613,0.000149,
614,0.000000,
615,0.000000,
616,0.000000,
617,0.000000,
618,0.000045,
619,0.000187,
620,0.000187,
621,0.000188,
622,0.000039,
623,0.000000,
624,0.000441,
625,0.000664,
626,0.000667,
627,0.000558,
628,0.000309,
629,0.001168,
630,0.001241,
631,0.001110,
632,0.000421,
633,0.000015,
634,0.000000,
635,0.000000,
636,0.000000,
637,0.000234,
638,0.000312,
639,0.000578,
640,0.000542,
641,0.000872,
642,0.000916,
643,0.000973,
644,0.000764,
645,0.000387,
646,0.000396,
647,0.000115,
648,0.000087,
649,0.000140,
650,0.000141,
651,0.000142,
652,0.000072,
653,0.000022,
654,0.000055,
655,0.000055,
656,0.000055,
657,0.000000,
658,0.000000,
659,0.000000,
660,0.000000,
661,0.000209,
662,0.000997,
663,0.001109,
664,0.001669,
665,0.002592,
666,0.002490,
667,0.003086,
668,0.001834,
669,0.001316,
670,0.001022,
671,0.000379,
672,0.000540,
673,0.001361,
674,0.001850,
675,0.001582,
676,0.001109,
677,0.000436,
678,0.000253,
679,0.000341,
680,0.000522,
681,0.000936,
682,0.000998,
683,0.000937,
684,0.000453,
685,0.000079,
686,0.000004,
687,0.000124,
688,0.000131,
689,0.000148,
690,0.000082,
691,0.000023,
692,0.000005,
693,0.000030,
694,0.000040,
695,0.000040,
696,0.000030,
697,0.000000,
698,0.000000,
699,0.000000,
700,0.000000,
701,0.000000,
702,0.000000,
703,0.000013,
704,0.000166,
705,0.000263,
706,0.000702,
707,0.002982,
708,0.003178,
709,0.004157,
710,0.002759,
711,0.001655,
712,0.002357,
713,0.002285,
714,0.002728,
715,0.002605,
716,0.003833,
717,0.003969,
718,0.003769,
719,0.001845,
720,0.000175,
721,0.000711,
722,0.001185,
723,0.001200,
724,0.001140,
725,0.000451,
726,0.000318,
727,0.000194,
728,0.000109,
729,0.000608,
730,0.001075,
731,0.001087,
732,0.000886,
733,0.000029,
734,0.000000,
735,0.000000,
736,0.000888,
737,0.001015,
738,0.001026,
739,0.000639,
740,0.000031,
741,0.000236,
742,0.000238,
743,0.000241,
744,0.000089,
745,0.000095,
746,0.000239,
747,0.000301,
748,0.000406,
749,0.000233,
750,0.001034,
751,0.001087,
752,0.001657,
753,0.004001,
754,0.003424,
755,0.003808,
756,0.001816,
757,0.000408,
758,0.000523,
759,0.001689,
760,0.004948,
761,0.007214,
762,0.006497,
763,0.005060,
764,0.001254,
765,0.000528,
766,0.000418,
767,0.000061,
768,0.001550,
769,0.001763,
770,0.001839,
771,0.001516,
772,0.002951,
773,0.004825,
774,0.004739,
775,0.003654,
776,0.004097,
777,0.005676,
778,0.007235,
779,0.006918,
780,0.002825,
