center_id,name,lat,lon,date,temperature_thetao_degC,salinity_so_psu,n_valid_temperature_cells,n_valid_salinity_cells,depth_request_m,depth_window_m,depth_levels_m,buffer_m,latitude_cells,longitude_cells,product_id,temperature_dataset,salinity_dataset,source
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-13,11.08885,31.16354,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-14,10.82637,30.8299,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-15,10.80443,30.89384,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-16,10.81484,31.14543,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-17,10.92145,31.45515,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-18,10.98485,31.55424,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-19,10.97555,31.57273,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-20,10.92237,31.36797,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-21,10.84005,31.23945,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-22,10.72711,31.27265,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
