,mean,med,lo,hi
c550,0.6836937977184464,0.7376536281273407,0.18129370540682932,1.0582152964077687
omega,0.8427662248972022,0.8744340117618138,0.6447536995495351,0.9589332507286387
eta,0.5389428970230579,0.6374712550411278,-0.9119837131879278,1.7957224261406937
dz,1.1312705336248685,1.331249878469534,-0.9459819296358696,1.9634787557218838
a550,0.09181862808726228,0.09466863830234602,0.028521341146450444,0.16593295602183822
b550,0.5918751696311843,0.6111375569486948,0.12188864559904397,0.9408824986462726
