idx,c550,omega,eta,dz,p0_blue,p0_green,p0_red,p1_blue,p1_green,p1_red,p2_blue,p2_green,p2_red,p3_blue,p3_green,p3_red,p4_blue,p4_green,p4_red,p5_blue,p5_green,p5_red,p6_blue,p6_green,p6_red,p7_blue,p7_green,p7_red,p8_blue,p8_green,p8_red,p9_blue,p9_green,p9_red,p10_blue,p10_green,p10_red,p11_blue,p11_green,p11_red,p12_blue,p12_green,p12_red,p13_blue,p13_green,p13_red,p14_blue,p14_green,p14_red,p15_blue,p15_green,p15_red,p16_blue,p16_green,p16_red,p17_blue,p17_green,p17_red,p18_blue,p18_green,p18_red,p19_blue,p19_green,p19_red,p20_blue,p20_green,p20_red,p21_blue,p21_green,p21_red,p22_blue,p22_green,p22_red,p23_blue,p23_green,p23_red,p24_blue,p24_green,p24_red,p25_blue,p25_green,p25_red,p26_blue,p26_green,p26_red,p27_blue,p27_green,p27_red,p28_blue,p28_green,p28_red,p29_blue,p29_green,p29_red,p30_blue,p30_green,p30_red,p31_blue,p31_green,p31_red,p32_blue,p32_green,p32_red,p33_blue,p33_green,p33_red,p34_blue,p34_green,p34_red
0,0.48162768754779417,0.6992236270358705,0.3329509918347594,0.663887629447151,0.9340402021699703,0.49379631791726364,0.011619996208530034,0.5479096404126922,0.2489403858631602,0.008261168218323216,2.0914712123679045,0.7089223508821567,0.1132719261817614,0.5106014077177017,0.28725205906018075,0.03062150693097102,0.30412422552152774,0.14365525938360257,0.0014649613594715461,0.7404653591429204,0.2372030571671041,0.04304630356539657,0.8711837662685337,0.396447808785695,0.03407977581503288,0.35176393675933393,0.20074880874321063,0.03758380113495702,1.8757236686472432,0.9172545726317818,0.04874618000850961,0.342037192419581,0.036306141089578296,0.0008227412422355262,0.25460092149269276,0.029075974691986584,0.000514866940489236,0.38458446146634867,0.1377066876687745,0.014920279049820342,0.8790641878525773,0.22373017794638386,5.7770325855336e-06,0.4650839708570796,0.06518028602043527,0.010009775673304949,1.3425327962768208,0.5303714843487912,0.08566784085703696,0.47111518569018646,0.18138324931112276,0.04108990123372182,0.3368302682402567,0.18899946132394388,0.015297217686086124,0.4493864021355562,0.18031077225746597,0.01597641965251785,0.6734089377196151,0.2081647981153545,0.020569722591864067,0.3068409183677563,0.1779239536927308,0.014515806312870725,1.4590431073922292,0.3624684453549619,0.03366334211170183,0.16747294065242452,0.059401207924689024,0.0,0.2604420422600895,0.07777493874410005,0.0031655778051156783,0.10899577654776196,0.15662134995395302,0.00033067930804894113,0.12828747240280036,0.1088521569283555,0.0,0.1597908044898001,0.0410493598076644,0.010961944661463153,0.10153463946481628,0.037136142487294466,0.004195155478116863,0.04469140119541114,0.00889971275186066,0.013528954807003874,0.08579471387746705,0.0439836549617393,0.00010489988560981232,0.13034210681753983,0.07954163037316019,0.0,0.13543485947484507,0.01807484376383355,0.005525832502393638,0.1720896851497797,0.04748443421141493,5.7770325855336e-06,0.034278143803974474,0.009438878504444356,0.007347221502620067,0.05629745535570297,0.0198253984247358,0.013291921708280217,0.05083300684221571,0.02868337584567063,0.02525493544310941
1,0.9015945580725213,0.9588564720187168,0.03294553429856495,1.8132238318868548,2.3056581583008087,0.7279927854576311,0.054827168504657714,1.226272500476215,0.1726522184180992,0.032804657467874705,4.985223512823325,1.9623748023065737,0.2226882039651499,1.2960733861847347,0.474916141834648,0.01880608631839306,1.0588862722809025,0.5668856780954399,0.06984968360428781,1.249113263386245,0.4356957077168241,0.027124387020769584,2.7242419008249885,0.9621933400433698,0.2139093525328961,1.9475766223373028,0.602563217992658,0.061922406755368635,5.238783907568827,2.0386580759672377,0.03902021929301551,0.9289226436023852,0.23622919971970774,0.0,0.559814878684287,0.17422106328149284,3.39607195509324e-05,0.5812270013485666,0.4060083582027606,0.0016696826530096852,2.063010725843773,0.6392957111065367,0.038136576573536723,1.3980503611840476,0.46918271469377815,0.02123458030224809,3.797314399025497,0.9330293869718048,0.1735689456502285,1.1992141055858652,0.3790441138425792,0.12103647161905493,0.6991661812371677,0.3736993746631795,0.04241225821944634,1.0615903255261072,0.3806375899183654,0.07463767367583582,2.1024869431203466,0.7373963933840887,0.13276783242851764,1.2045035127588486,0.32918245052876133,0.10043414843499744,3.4635489138497015,0.7406795535277735,0.15183210848756715,0.685089620771696,0.17505790547882774,0.014542524342035137,0.7711970606048121,0.2738103208005649,0.026445640903743024,0.21554242361969794,0.2268190188708475,4.039970493306903e-05,0.2912376943193543,0.10403802369878688,5.7770325855336e-06,0.30630138423469905,0.1294020939632194,0.03790026169892187,0.4086579612625286,0.12998427829091827,0.0,0.2852630450574764,0.1913975948090529,0.0,0.5470658759069389,0.11002987537957051,0.002719123696632188,0.4241639985881244,0.1563179244953935,0.0,0.23076526890145588,0.21694260072502228,0.03486472047413047,0.4024686978650532,0.11096847838872197,0.03384782538478856,0.24108695657094714,0.04660411517162876,0.0003150825487727448,0.2942170665746212,0.09353370925552662,2.482266919701397e-05,0.0891019960510041,0.10642444228551112,0.0
2,0.6783898495108789,0.9545649641131414,0.8784938305957706,1.9494209771420827,3.0610879003691274,0.9949540325499073,0.07756301837303756,1.2870966442184473,0.5788949676601081,0.0779505270980307,6.203917051484619,2.137356952720748,0.11377389221753528,1.4627808924539032,0.5480341078420419,0.12955599338341453,1.6302902538734627,0.46582824232420134,5.7770325855336e-06,1.6831954722498041,0.42652487322169086,0.08926486358057543,3.2301078250327357,1.2699748422482215,0.03655240493992846,1.61511989869375,0.5799554445226938,0.06539216737063006,6.2167285188131585,2.075140001957672,0.12856756064967478,0.6705638336332407,0.2569559703168296,0.032138210597164076,0.5500968237941809,0.11535620986467161,0.14313600153108405,0.5692360229492255,0.14316820858536142,0.04637712148854538,2.1925373887263335,0.779800314772723,5.2634956863489625e-05,1.2240671905724347,0.3736291625303272,0.06492008241762852,3.2708116989229836,0.9929817672888654,0.13895233073392999,1.1719046585902575,0.41200275751214765,0.04623553097749814,1.2608855087687894,0.45984734107891684,0.08457994712041267,1.2702105850902952,0.34389118503929816,0.06323009132741411,2.323627171810956,0.6478466471435009,0.16357623824181244,1.487012706874084,0.4206598969108682,0.036618884760918895,3.432323685687086,1.2980232945905987,0.08108317122173331,0.793318933450832,0.20872122096710333,0.03441877236774419,0.6228664199150133,0.23959706142330917,0.0544596793643307,0.39311041344859227,0.11411152446263247,0.026896803913003847,0.3657776564203215,0.2065590137213878,0.022880140427201483,0.41933811583826763,0.17249397742296185,0.024587917765791736,0.5815787843804112,0.16084082246212894,0.035346713183042,0.35765120822966057,0.2971887116189712,0.00394621041940988,0.3569814777316691,0.11758298806964372,0.04915416516707031,0.45295168922228995,0.2569939117819945,0.1257052625271481,0.47137187115141294,0.25513510497096964,0.0575158166128735,0.4501448164118461,0.10455890828358165,0.025620129346200365,0.4083878094310497,0.12742135219266576,0.05835248826203843,0.2702410711030177,0.12980470639593344,0.027852157640989535,0.3193549179958177,0.2349920000313363,0.019525833743032267
3,0.26806002664989126,0.7211448447168219,0.09033909869977746,0.0517328543551937,1.7410478041127686,0.5342920331342819,0.015217565075446093,1.1077662161082806,0.4287188582583524,0.01326969985494196,2.964516622602785,0.660565379923815,0.0690364839441323,1.1131117948321472,0.3690015652224066,0.03732489549394934,1.0438337087827896,0.24646137386283493,0.0005717231665462841,1.459765373229066,0.4505749906395662,0.002165105344811834,1.5387856281603456,0.34562413678265375,0.011204805074200928,0.8423774878932174,0.2441861450431323,0.0005987055706817349,3.043354954487133,0.6355840432357283,0.15993991647823272,0.6412886252636425,0.11265654166652445,0.035242245158096396,0.41606971508155255,0.057611022285748055,0.021786813376528366,0.7844460977790165,0.22252684279659113,0.013047463519554329,1.3302999701923122,0.43510102166929165,0.09022413386319955,0.81556460125474,0.1398708681189445,0.026868143131033296,1.886258139721464,0.8575385223995645,0.09967944186192171,1.0016148611859137,0.3060474664653434,0.0029493795822082554,0.6829937593391773,0.2848283517597797,0.023670809972893784,1.019218066462206,0.2772791644141708,0.05182741369657196,1.3273866898804945,0.3985012146800223,0.043854620342578345,0.7320319136696309,0.4220084461490812,0.0022464482069280093,2.1046651761257484,0.7087657628681712,0.09767840813559243,0.3733960171749715,0.22521590480405326,0.0,0.6034503946054823,0.12664670555708002,1.6419608622649227e-05,0.49996803572325543,0.2249785668561163,0.007789384445449033,0.3936693909563463,0.18315473826189838,0.003458198113255019,0.4303528741762404,0.12085257686898149,5.7770325855336e-06,0.3175482008424136,0.23842266646735744,0.006823900150087109,0.3396011799738692,0.18425301439016292,0.005464100803415324,0.3890860599456943,0.09017639725074217,0.0015946349749042705,0.29197621026821585,0.061162559400985084,0.018867869407614923,0.3107679129845037,0.07082413482104685,0.0012485498067576295,0.5005490383688023,0.14886182262604872,0.03693173243504937,0.15173343647943238,0.1297515915693046,7.815293120428648e-05,0.2817605201803386,0.10005272330123965,0.0,0.1566818960000152,0.03360744690467592,0.0001672507029042632
4,0.7626930699102334,0.6850692464235932,-1.0378308258590423,-0.9988774735984137,0.2037056406812128,0.05678490580074872,0.0035616807329781736,0.07243974161199997,0.027846685390090928,0.0,0.700724892698765,0.15526998543925924,3.108497735571707e-05,0.15886946533759946,0.03090288580558302,0.0009438003093380085,0.09208518333950896,0.026241851313604153,0.00029089586952821945,0.38734045252215377,0.06019055150698956,0.019559879249284075,0.3112876603717034,0.03368800265772513,0.004158678234260192,0.19214475741092993,0.025636353048127232,5.903552133619224e-05,0.756697683499328,0.12555479898289318,0.017492287285931173,0.13008964100024564,0.03798549888290585,0.005645166551442742,0.06654314215004285,0.024235229240517752,0.000252557215963807,0.19440423636199128,0.06267827647498332,0.0,0.23036802124097888,0.035382765405312606,0.0,0.13929316160318383,0.015478925465726674,0.0,0.4614235575182709,0.1843889874187986,5.7770325855336e-06,0.12334343803827465,0.06739671284974719,0.0003108716672532507,0.07857346370787116,0.015629665734424654,0.000882776890413393,0.315928238665926,0.07392032701391338,0.002396601870235206,0.23399328347134637,0.09225953963500938,0.010949960462501454,0.10491528680148787,0.08415425962521755,0.005220421378149876,0.659873454398199,0.08711341332198458,0.024803634092553265,0.08881734249979828,0.0145164545312799,8.234082334515353e-05,0.1700909927701033,0.014745575934379635,0.0012872801243402141,0.09828239927268607,0.03118314469248913,5.7770325855336e-06,0.0590370061017957,0.00718845312214275,0.0,0.06449942584491833,0.005950528656818121,4.4443878375155815e-05,0.05895677847477161,0.014677278172287967,0.0,0.04325709149093751,0.016701236127143283,0.0,0.044725456108936155,0.018351193284490495,0.0,0.0746007708329365,0.049512212998875434,0.000653635633031875,0.04345851065542391,0.008393750027482338,0.00038240397017174396,0.11096875887529226,0.01208073412669881,0.0,0.026884580253332103,0.0026622217456965564,2.4535109123004267e-05,0.015448301935100944,0.0015709738153017305,0.0,0.03273068434436308,0.018959123540173407,1.891545284616772e-05
5,0.4415220990839004,0.8591510162401232,0.32871075002594385,0.3253191869085039,1.5716954544510466,0.7592820947733384,0.057879891824367945,0.7152180549930409,0.5638871903110922,0.030443833674601916,2.773564311826505,0.8302339618468823,0.13617365546676577,1.046245284546819,0.35671218387980863,0.03622879087596288,0.9749946157870653,0.12023490428198741,0.0009728364896735693,1.2985332403059844,0.41154111085580947,0.07410061959028474,1.709952297377971,0.6722747421303641,0.0018347964009726762,0.9589464054185206,0.2956923107754318,0.004440266904311638,3.0640174770539943,1.0940325531623234,0.061107024126214785,0.7111018711399415,0.16411572843155803,0.026745770889236752,0.5442693992248916,0.1308505363321603,0.02660657125815085,0.7481194717589343,0.30080287568696573,0.018582604530104824,1.7227582897811138,0.35002855391885723,0.034171793653189036,0.795459595331416,0.17243439719414377,0.028062624980544362,2.46380273962907,0.944108463272911,0.08633958787210086,1.0390070552373887,0.3309005690907657,0.08339348432505322,0.7075041279963198,0.42727673953837714,0.11012744482544645,1.098917500132406,0.3545754120890678,0.10064730335533939,1.22011895839361,0.6162385884822412,0.0029348530529479597,0.6038316478658563,0.31680612195101443,0.06001112938814179,1.8413868251661976,1.0017260360053353,0.035118666980471315,0.5524213650706051,0.13075586203404688,1.15540651710672e-05,0.5608451523092454,0.14339505983598128,0.023943057802739393,0.32883435041126546,0.17434331534853115,0.05964365585290149,0.31256396138002557,0.1379140729642343,0.03766419833595054,0.33121219234136773,0.10325679548901487,5.7770325855336e-06,0.40237271569765154,0.07973155616767182,0.0,0.2876222773550692,0.09506139567805469,0.02552615513795166,0.22327324062219436,0.14901267695354378,0.0005945376748807894,0.2346694855257953,0.04575914773357977,0.0001458798163098761,0.402412569698422,0.18003768406234255,0.048995718572179575,0.5507985569235037,0.26733786147198735,0.01144182346370319,0.16895123879255755,0.06296799499765711,0.02417779343623178,0.21725782330642412,0.11107033188600163,0.01943865517401679,0.2476618056234598,0.04367675347653846,0.014845527162917295
6,1.150860268851471,0.8712386959933565,0.13148020033696045,0.2019433059301895,0.4042542986624772,0.16153718752187093,0.036418458816249194,0.2090238333790149,0.046861590243235746,0.007978772901598994,1.1989782165160625,0.5128985702385274,0.054927882775022016,0.38670568153649587,0.11060637868020333,0.012297688213972605,0.12755616554226534,0.07186162521951528,0.00933464466731789,0.4571918857741354,0.2986414764066194,0.0073018662204434506,0.456962801552744,0.10967940470894003,0.0,0.26112144097486445,0.0710865952681507,0.004275038177703754,1.2397570085660903,0.5290256079848356,0.04316116503683853,0.16007328843766003,0.009647685045365763,5.7770325855336e-06,0.0801683985593908,0.02204413121355024,0.0,0.28185398309591314,0.07788018377290257,0.0,0.3453788436972211,0.09878268800368332,0.021607341099281654,0.170004397537595,0.032648721251423186,3.710834047272285e-05,1.2611455189250314,0.1995484243286003,0.07201982008230359,0.1876425404621753,0.04574380506875175,0.013753878334198484,0.1032605410712011,0.04708664165822972,0.022783540067127992,0.29049653518452706,0.15637285433295914,0.034072019809375714,0.4792390104579636,0.11517095741369336,0.02744322527956595,0.2949680801743257,0.03426594838196039,0.007027379372143003,1.1037689012629237,0.2954461788521123,0.07449914151740057,0.16871958073320648,0.0749779318733636,5.7770325855336e-06,0.16270159441674145,0.028099903297291385,0.03947942650097177,0.06443353416203203,0.022051893360562905,0.0,0.04539556931344514,0.009028272506735375,0.0,0.1096859007027908,0.008782681262192442,0.023600903257420362,0.045864687942689344,0.006679648687853267,0.0038920905491308354,0.073887138152658,0.004900714669610359,0.0,0.07987047054667856,0.03373855966045803,0.0,0.13515450038687288,0.09768633121570823,0.0067066237055242155,0.06982017911807206,0.03563769610378363,0.0,0.1150869667168447,0.03988898390395568,0.0,0.029617871132777886,0.006640373159433097,0.0015940141738254453,0.02759326858789469,0.016470864038029245,0.0,0.04239453725942768,0.014724531209280823,0.0
7,0.7319278557766198,0.7451030169274964,0.8443933305235628,1.3989608447475006,0.6224530483747446,0.35550847789801737,0.009714129189726386,0.2545428336962525,0.25544033306413744,0.01171936689653311,1.913063238341239,0.6653162352818494,0.12650145660409715,0.36164319556892643,0.12892457301529034,0.01756638686843114,0.10523423591671574,0.03577759317161911,0.0037309389900558095,0.47283516548616433,0.12174020984958257,0.01063502173668597,0.8304301389276213,0.28936126538511137,0.038766915394765414,0.4355749670919518,0.12757243011058952,0.04038435782132765,2.5001073124015156,0.7547311467948772,0.0752599560086873,0.1392680887821586,0.08166559342131,0.0,0.054811372228903005,0.022092928793901418,0.015184385581279807,0.2484130514375234,0.09405250622039363,0.0007262219593175067,0.5429597798635508,0.28187478137644933,0.02292070257113671,0.33306445913626914,0.06259640059577279,0.03692465029617912,1.1520162303732548,0.4325738101483769,0.03501645845355746,0.21279723149256244,0.10908085264387307,0.0075734507267757835,0.17137368662547564,0.09283766240728304,0.007070142808101269,0.2593981797105841,0.06980309497975466,0.02209853055810402,0.4155913160639174,0.24808890831821132,0.06846397745172898,0.22490587948084775,0.07035175550840414,0.044036894026553246,1.238450349587768,0.5649734007717846,0.09059174818307343,0.1267109489812245,0.04817822355868122,0.0003520032598525956,0.20433859950988206,0.06765113371640613,0.0,0.07355114014049194,0.03243470309093527,2.1821694225500183e-05,0.04894335611590779,0.038681693415306,0.0,0.10880995934455062,0.0015678953996871804,0.0,0.03986343513046263,0.021910843830078297,0.000842702991000931,0.04044117837363179,0.02066317440881663,0.0004926390069098685,0.042681143611067535,0.02936115140145265,0.0003156173973720308,0.04639890547374946,0.03468874309441595,1.15540651710672e-05,0.03122095710625266,0.03734803706703134,0.012911670559207363,0.06347499362392889,0.08586939723134794,1.3349937919933633e-05,0.009974028242069001,0.018622657648286706,0.00029894821208552704,0.005089544503591784,0.0022942891890485404,0.0,0.03824512043647145,0.013903032673694098,0.008356192392498848
8,0.8165677976521222,0.8776431050117928,0.005292198875848864,1.4511690603785758,1.4892411380163064,0.6140706860143517,0.053803277082975914,0.7235149804604055,0.2748139999455932,0.03208598407643906,3.5981183871284212,0.9305841867260969,0.0777068264696271,0.6909075548443168,0.22015701748337826,0.06633339195341727,0.5455506753341759,0.1262069590845115,0.017081344394977972,0.7435622601916283,0.3398131296207362,0.07535277381667113,1.4120393675514709,0.3567779020128533,0.01559372695260579,0.6461917447526968,0.22186828054630928,0.04232725177747317,3.30487215877831,1.3984220144874762,0.12017790519574617,0.4158699161460309,0.06044555252327627,0.019497335668188984,0.2883838891007581,0.13906302850065833,0.0,0.5600741831691703,0.0896750686479189,0.0,1.347092335910404,0.3234154868335679,0.018629954291327955,0.6837524844925098,0.21362104584230834,0.023672585523614766,2.3651146976869697,0.6198907619814747,0.036123740183829064,0.5467522676502804,0.10347468812136718,0.0,0.5167232800732401,0.15042258531295494,0.014826597128032177,0.6678067073518841,0.1852729388138804,0.013369782342739165,1.0840655590257295,0.5312469961183197,0.010239381875902438,0.55061532743195,0.2871933416429211,0.05720965903161902,2.3803822065838194,0.790015377003613,0.123040997243935,0.36646409658291323,0.04667838321233299,0.03655670175378897,0.3370782640539036,0.10707827626883087,0.01264704834475881,0.2867090861655107,0.10453658469454835,0.004110264742915359,0.144085933655772,0.09781988370466822,0.03126796165150953,0.16277288668149306,0.09367963931483728,0.012513348363500916,0.21696513472166046,0.12326008178207852,0.010152066021750478,0.1705209010684372,0.06237738867622341,0.014522093140345948,0.1903445440884507,0.07987497773067084,5.7770325855336e-06,0.2668746859977338,0.11374302605225059,2.0401811315255043e-05,0.2657929189948369,0.04472515068623307,0.0031971171483158,0.2967657126639172,0.03349832763027287,0.018029629463509677,0.15363147173944786,0.017331222246456827,0.0,0.07160378844032426,0.013153613347955688,0.0,0.14925420792948207,0.0010879774125801091,5.7770325855336e-06
9,0.43944966960637877,0.8597619218849111,1.6612075070506647,-0.18089756413118663,1.3696258678392366,0.6123270798156668,0.06220856673190862,0.7141437673951693,0.37662124610265346,0.02793247280681971,1.8113912645900938,0.7721630746247485,0.09933075003750931,0.514772155638787,0.3147764146498645,0.06797750464522107,0.594019920546985,0.198651570983871,0.02387679158143786,0.984731699597837,0.32241413488598325,0.009381023287280025,1.20645991183824,0.49729183091694074,0.0783949294330083,0.5595745309718793,0.38992727846223685,0.13805012122180332,2.4279143256368227,0.7813538485873962,0.106753684575582,0.5287516990667249,0.21899207234848284,0.12182050563399177,0.3199920292615947,0.15096127048459693,0.037903921801282006,0.6560123733920235,0.2655460957452508,0.0017194051063947335,0.7542974824809573,0.3521293339451783,0.049716728401505546,0.7374896932397068,0.31896608196016774,0.025043118789074274,1.211425903209389,0.7843163707321043,0.011314642461040076,0.8710437021799071,0.39132320174156726,0.05540892727199676,0.5178436843175982,0.16786619260881064,0.026882236081836878,0.8765387051534537,0.4743727176856652,0.03756303565921283,0.8668722477501133,0.35340765231441196,0.02095500469944442,0.6498661689293227,0.2208406791346137,0.07166347268979249,1.8057841713893148,0.46768030198837923,0.06660915685740582,0.4138453174760744,0.12035095385721387,0.000634037398377293,0.39380246481393977,0.16505229489917247,0.0008467879460428477,0.18238493467005784,0.14976791421234817,0.0309384257328771,0.25907842455792357,0.11540251597363141,0.0001740080030025592,0.2653532374638345,0.03913682155346914,0.0018749095877259288,0.38189662838657995,0.049538821507403186,0.016605773881276903,0.24804560497792635,0.07971364021707844,0.018340994690406603,0.26184267302245257,0.07697990208217703,0.03615219475853116,0.36373490288740173,0.10662562920095861,0.01819592887026669,0.23942551424888736,0.16187849543968336,0.038586194281962444,0.2315748974350112,0.17096604972229826,0.026575828847994903,0.17454501383134846,0.052761818608593115,0.0010884215621940743,0.1607348283239987,0.06377353070541858,0.005311490336170468,0.1252642847663594,0.06809143973021091,4.517299944761934e-05
10,0.48956892016319825,0.8455314990865588,-0.34678991910304685,-0.04471878245217453,1.5053385536812192,0.4475051944301779,0.05589283275151435,0.9157517298243358,0.31846369683945774,0.051443666395230486,2.4943348071018985,0.7471993788343595,0.08935480525174655,0.8883027331820847,0.2391053691366814,0.010572982170481162,0.6458068451148421,0.29725709747045476,0.022665631969046522,1.1278830497584817,0.30700138454957904,0.012504220059729182,1.4249813181606648,0.48028895120619725,0.1046739723715448,0.8280307013663084,0.18920816016404599,0.033772222157774784,2.43028156892903,0.855778989593611,0.02701587989797692,0.5119841622015396,0.2132177004569415,0.03533613994774108,0.2775498589478709,0.035117339265989936,0.013837247870808728,0.8765215995810085,0.2237073416320078,0.050288430299583825,1.1276122715053762,0.35644768324877263,0.02982562863579891,0.49087387530826204,0.09010345631518335,5.7770325855336e-06,2.0914683271034598,0.6192931588451107,0.08087278798081758,1.0585973074090609,0.26801726255100355,0.0002259610990318239,0.8055212503891133,0.264437187629042,0.048342189235147714,1.2839204925577496,0.47343480682215716,0.022837663459564193,0.9492471687941528,0.4051620886795559,0.03201745533741114,0.6457036883995628,0.12670585311025653,0.008436299488684797,1.6634925614433649,0.6467470043829094,0.12037713326310068,0.5469022896435785,0.09432528074232704,0.031962123330415045,0.4314040907814377,0.13091737110032248,0.021308243740277635,0.3126980606190382,0.1646765735595837,0.0006770312176206732,0.3003991113966163,0.1270087699014224,0.001983208346082841,0.22221038621722738,0.10647786321522736,0.00598179650278625,0.5020315127437495,0.10247781910706527,0.022425790095338273,0.19954591085435802,0.05569102392945018,0.0028492969470219334,0.3492352432628296,0.10319602842288063,0.0001234525837647035,0.4325644101869573,0.16797566792765056,0.015534947374457396,0.3378707060166964,0.0871067696359571,0.0,0.3801647289495814,0.06632639435122585,0.0093779707222904,0.1999882606396235,0.04419689306012419,1.4798284446957241e-05,0.1713798402996889,0.061251380664615676,0.017927946727093788,0.11625750055871398,0.0773971543948226,7.796591206472132e-05
